"number","sourcePath","imagePath","reference","title","categoryId","purity","weightGrams","heightInches","widthInches","diameterInches","suppliedSizeLabel","singhasanWidthInches","singhasanDepthInches","idolConstruction","deityIds","shortDescription","alt","publishBlockers","readyForSanityAssetUpload","readyForProductPublish"
"11","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-06 at 4.34.40 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-kl-1-kali-over-shiva-silver-idol.png","SSM-KL-1","Kali over Shiva Semi-solid Silver Idol","category-idols","92.5","1000","6","","","","","","semi-solid","deity-kali | deity-shiva","A semi-solid 92.5% silver Kali composition standing over Shiva with trident, blade and sculpted attributes. Confirmed weight: 1000 g; height: 6 inches.","Semi-solid 92.5% silver Kali idol standing over Shiva with trident, blade and detailed base","","true","true"
"12","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-06 at 4.36.27 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-sr-1-saraswati-veena-silver-idol.png","SSM-SR-1","Saraswati Veena Semi-solid Silver Idol","category-idols","92.5","1000","6","","","","","","semi-solid","deity-saraswati","A semi-solid 92.5% silver Saraswati idol seated with a finely detailed veena and decorated base. Confirmed weight: 1000 g; height: 6 inches.","Semi-solid 92.5% silver Saraswati idol seated with veena on an engraved round base","","true","true"
"13","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-06 at 5.01.01 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-gn-1-panchmukhi-ganesha-silver-idol.png","SSM-GN-1","Panchmukhi Ganesha Semi-solid Silver Idol","category-idols","92.5","1500","6","","","","","","semi-solid","deity-ganesha","A semi-solid 92.5% silver Panchmukhi Ganesha idol with five elephant faces and multiple attributes. Confirmed weight: 1500 g; height: 6 inches.","Five-faced semi-solid 92.5% silver Panchmukhi Ganesha idol with multiple arms and round base","","true","true"
"14","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-06 at 5.03.57 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-gn-2-celestial-arch-ganesha-silver-idol.png","SSM-GN-2","Celestial Arch Ganesha Semi-solid Silver Idol","category-idols","92.5","950","5.5","","","","","","semi-solid","deity-ganesha","A semi-solid 92.5% silver Ganesha idol framed by an elaborate celestial arch with gold-toned accents. Confirmed weight: 950 g; height: 5.5 inches.","Semi-solid 92.5% silver Ganesha idol with elaborate celestial arch and gold-toned accents","","true","true"
"15","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-06 at 5.06.33 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-sh-1-seated-shiva-silver-idol.png","SSM-SH-1","Seated Shiva Semi-solid Silver Idol","category-idols","92.5","350","4.5","","","","","","semi-solid","deity-shiva","A semi-solid 92.5% silver Shiva idol seated with trident, damaru and cobra details. Confirmed weight: 350 g; height: 4.5 inches.","Semi-solid 92.5% silver seated Shiva idol with trident, damaru, cobra and decorated base","","true","true"
"16","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-06 at 5.07.37 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-hn-2-kneeling-hanuman-silver-idol.png","SSM-HN-2","Kneeling Hanuman Semi-solid Silver Idol","category-idols","92.5","539","4.5","","","","","","semi-solid","deity-hanuman","A semi-solid 92.5% silver Hanuman idol kneeling with a mace on an ornate footed base. Approximate weight: 539 g; height: 4.5 inches.","Semi-solid 92.5% silver kneeling Hanuman idol with mace and ornate footed base","","true","true"
"17","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-06 at 5.09.49 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-ln-1-standing-lakshmi-narayan-silver-idol.png","SSM-LN-1","Standing Lakshmi Narayan Semi-solid Silver Idols","category-idols","92.5","400","5","","","","","","semi-solid","deity-lakshmi | deity-vishnu","A semi-solid 92.5% silver Lakshmi Narayan standing pair on individual lotus bases. Confirmed weight: 400 g; height: 5 inches.","Semi-solid 92.5% silver standing Lakshmi Narayan pair on individual lotus bases","","true","true"
"18","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-06 at 5.11.31 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-sh-2-ornate-reclining-nandi-silver-idol.png","SSM-SH-2","Ornate Reclining Nandi Semi-solid Silver Idol","category-idols","92.5","450","3.5","","","","","","semi-solid","deity-shiva","A semi-solid 92.5% silver reclining Nandi with an extensively carved ceremonial blanket and ornaments. Confirmed weight: 450 g; height: 3.5 inches.","Semi-solid 92.5% silver reclining Nandi idol with ornate carved blanket and ornaments","","true","true"
"19","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-06 at 5.14.31 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-lg-1-painted-lakshmi-ganesha-blue-base-silver-idols.png","SSM-LG-1","Painted Lakshmi Ganesha Blue Base Silver Idols","category-idols","92.5","1600","6","","","","","","semi-solid","deity-lakshmi | deity-ganesha","A semi-solid 92.5% silver painted Lakshmi Ganesha pair on separate square blue-edged bases. Confirmed weight: 1600 g; height: 6 inches.","Painted semi-solid 92.5% silver Lakshmi and Ganesha pair on square blue-edged bases","","true","true"
"20","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-06 at 5.16.36 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-lg-2-painted-lakshmi-ganesha-lotus-base-silver-idols.png","SSM-LG-2","Painted Lakshmi Ganesha Lotus Silver Idols","category-idols","92.5","1300","6","","","","","","semi-solid","deity-lakshmi | deity-ganesha","A semi-solid 92.5% silver painted Lakshmi Ganesha pair seated on separate lotus bases. Confirmed weight: 1300 g; height: 6 inches.","Painted semi-solid 92.5% silver Lakshmi and Ganesha pair seated on separate lotus bases","","true","true"
"21","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-06 at 5.51.10 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/jh-03-peacock-floral-silver-jhula.png","JH-03","Peacock Floral Arch Silver Jhula","category-gifts","92.5","1400","","","","Singhasan size 9/7","9","7","","","A 92.5% silver peacock-and-floral jhula weighing 1400 g, with a 9 × 7 inch singhasan measured left-to-right × back-to-front.","92.5% silver jhula with peacock finials, floral arch, four supports and suspended engraved seat","","true","true"
"22","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-06 at 5.52.58 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/jh-04-leaf-bar-silver-jhula.png","JH-04","Leaf Bar Four-column Silver Jhula","category-gifts","92.5","1017","","","","Singhasan size 7/5","7","5","","","A 92.5% silver leaf-bar jhula weighing 1017 g, with a 7 × 5 inch singhasan measured left-to-right × back-to-front.","92.5% silver jhula with leaf-engraved bar, four columns, chains and suspended seat","","true","true"
"23","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-06 at 6.01.13 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/jh-05-loop-support-peacock-silver-jhula.png","JH-05","Loop Support Peacock Silver Jhula","category-gifts","92.5","700","","","","7/5 inch","7","5","","","A compact 92.5% silver loop-support jhula weighing 700 g, with a 7 × 5 inch singhasan measured left-to-right × back-to-front.","Compact 92.5% silver jhula with looped supports, peacock crest, chains and engraved seat","","true","true"
"24","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-06 at 6.03.30 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/jh-06-broad-base-peacock-silver-jhula.png","JH-06","Broad Base Peacock Silver Jhula","category-gifts","92.5","1289","","","","7/5 inch","7","5","","","A 92.5% silver broad-base peacock jhula weighing approximately 1289 g, with a 7 × 5 inch singhasan measured left-to-right × back-to-front.","92.5% silver jhula with peacock crest, engraved arch, broad bases and suspended seat","","true","true"
"25","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-06 at 6.14.16 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/jh-07-bird-foot-peacock-floral-silver-jhula.png","JH-07","Bird Foot Peacock Floral Silver Jhula","category-gifts","92.5","2650","","","","9/7 inch","9","7","","","A large 92.5% silver bird-foot jhula weighing 2650 g, with a 9 × 7 inch singhasan measured left-to-right × back-to-front.","Large 92.5% silver peacock and floral jhula with sculpted bird-shaped base feet","","true","true"
"26","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-06 at 6.20.55 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/jh-08-domed-mandap-silver-jhula.png","JH-08","Domed Mandap Silver Jhula","category-gifts","92.5","2850","","","","7/5 inch","7","5","","","An architectural 92.5% silver domed jhula weighing 2850 g, with a 7 × 5 inch singhasan measured left-to-right × back-to-front.","Architectural 92.5% silver jhula with domed arch, four carved columns and platform seat","","true","true"
"27","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-06 at 7.12.14 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/jh-09-large-peacock-floral-silver-jhula.png","JH-09","Grand Peacock Floral Silver Jhula","category-gifts","92.5","2155","","","","10/8 inch","10","8","","","A grand 92.5% silver peacock jhula weighing 2155 g, with a 10 × 8 inch singhasan measured left-to-right × back-to-front.","Grand 92.5% silver jhula with peacock finials, floral arch, carved columns and suspended seat","","true","true"
"28","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-07 at 2.58.38 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-an-1-painted-annapurna-silver-idol.png","SSM-AN-1","Painted Annapurna Semi-solid Silver Idol","category-idols","92.5","750","6","","","","","","semi-solid","deity-annapurna","A painted semi-solid 92.5% silver Annapurna idol holding a ladle and pot on a decorated base. Confirmed weight: 750 g; height: 6 inches.","Painted semi-solid 92.5% silver Annapurna idol holding a ladle and pot on a decorated base","","true","true"
"29","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-07 at 3.04.02 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-lg-3-round-base-lakshmi-ganesha-silver-idols.png","SSM-LG-3","Round Base Lakshmi Ganesha Semi-solid Silver Idols","category-idols","92.5","600","3.5","","","","","","semi-solid","deity-lakshmi | deity-ganesha","A semi-solid 92.5% silver Lakshmi Ganesha pair on separate round engraved bases. Confirmed weight: 600 g; height: 3.5 inches.","Semi-solid 92.5% silver Lakshmi and Ganesha pair on separate round engraved bases","","true","true"
"30","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-07 at 3.06.14 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-km-1-kamdhenu-calf-silver-idol.png","SSM-KM-1","Kamdhenu with Calf Semi-solid Silver Idol","category-idols","92.5","1000","5.5","","","","","","semi-solid","deity-kamdhenu","A semi-solid 92.5% silver Kamdhenu and calf composition with devotional figures modeled across the cow. Confirmed weight: 1000 g; height: 5.5 inches.","Semi-solid 92.5% silver Kamdhenu cow with calf and devotional figures across the body","","true","true"
"31","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-07 at 3.10.34 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-ln-2-reclining-vishnu-lakshmi-sheshnag-silver-idol.png","SSM-LN-2","Reclining Vishnu Lakshmi Sheshnag Silver Idol","category-idols","92.5","450","3.3","","","","","","semi-solid","deity-vishnu | deity-lakshmi","A semi-solid 92.5% silver reclining Vishnu with Lakshmi, Brahma above and Sheshnag canopy. Confirmed weight: 450 g; height: 3.3 inches.","Semi-solid 92.5% silver reclining Vishnu with Lakshmi, Brahma and Sheshnag canopy","","true","true"
"32","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-07 at 3.13.31 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-dg-1-jeweled-durga-tiger-arch-silver-idol.png","SSM-DG-1","Jeweled Durga Tiger Arch Semi-solid Silver Idol","category-idols","92.5","200","3.3","","","","","","semi-solid","deity-durga","A semi-solid 92.5% silver Durga seated on a tiger within a purple-and-green stone arch. Confirmed weight: 200 g; height: 3.3 inches.","Semi-solid 92.5% silver Durga on tiger within an ornate purple-and-green stone arch","","true","true"
"33","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-07 at 3.17.02 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-lg-4-purple-throne-lakshmi-ganesha-silver-idols.png","SSM-LG-4","Purple Throne Lakshmi Ganesha Silver Idols","category-idols","92.5","300","3","","","","","","semi-solid","deity-lakshmi | deity-ganesha","A semi-solid 92.5% silver Lakshmi Ganesha pair on separate purple-stone throne platforms with steps. Confirmed weight: 300 g; height: 3 inches.","Semi-solid 92.5% silver Lakshmi and Ganesha on separate purple-stone throne platforms","","true","true"
"34","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-07 at 3.19.12 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-lg-5-elephant-arch-lakshmi-ganesha-silver-idols.png","SSM-LG-5","Elephant Arch Lakshmi Ganesha Silver Idols","category-idols","92.5","250","3","","","","","","semi-solid","deity-lakshmi | deity-ganesha","A semi-solid 92.5% silver Lakshmi Ganesha pair on elephant-supported arches with purple stones. Confirmed weight: 250 g; height: 3 inches.","Semi-solid 92.5% silver Lakshmi and Ganesha on elephant-supported purple-stone arches","","true","true"
"35","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-07 at 3.20.35 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-hn-3-mountain-mace-hanuman-silver-idol.png","SSM-HN-3","Mountain and Mace Hanuman Semi-solid Silver Idol","category-idols","92.5","300","6","","","","","","semi-solid","deity-hanuman","A semi-solid 92.5% silver standing Hanuman holding the mountain and mace on a textured base. Confirmed weight: 300 g; height: 6 inches.","Semi-solid 92.5% silver standing Hanuman holding mountain and mace on a textured base","","true","true"
"36","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-07 at 3.23.45 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-rk-1-painted-radha-krishna-silver-idols.png","SSM-RK-1","Painted Radha Krishna Semi-solid Silver Idols","category-idols","92.5","150","3.5","","","","","","semi-solid","deity-radha | deity-krishna","A painted semi-solid 92.5% silver Radha Krishna standing pair with flute and vivid garments. Confirmed weight: 150 g; height: 3.5 inches.","Painted semi-solid 92.5% silver Radha Krishna standing pair with flute and colorful garments","","true","true"
"37","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-07 at 3.25.24 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-bk-1-laddu-gopal-butter-pot-silver-idol.png","SSM-BK-1","Laddu Gopal Butter Pot Semi-solid Silver Idol","category-idols","92.5","200","3.5","","","","","","semi-solid","deity-krishna","A semi-solid 92.5% silver Laddu Gopal kneeling beside an openwork butter pot. Confirmed weight: 200 g; height: 3.5 inches.","Semi-solid 92.5% silver Laddu Gopal kneeling beside a decorated openwork butter pot","","true","true"
"38","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-07 at 3.27.00 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-sh-3-cobra-nandi-shivling-silver-idol.png","SSM-SH-3","Cobra and Nandi Shivling Semi-solid Silver Idol","category-idols","92.5","200","3","","","","","","semi-solid","deity-shiva","A semi-solid 92.5% silver Shivling composition with cobra hood, Nandi detail and engraved yoni base. Confirmed weight: 200 g; height: 3 inches.","Semi-solid 92.5% silver Shivling with cobra hood, Nandi detail and engraved yoni base","","true","true"
"39","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-07 at 3.28.31 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-kb-1-seated-kuber-silver-idol.png","SSM-KB-1","Seated Kuber Semi-solid Silver Idol","category-idols","92.5","200","3","","","","","","semi-solid","deity-kuber","A semi-solid 92.5% silver seated Kuber with wealth pot and ornate square pedestal. Confirmed weight: 200 g; height: 3 inches.","Semi-solid 92.5% silver seated Kuber idol with wealth pot and ornate square pedestal","","true","true"
"40","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-07 at 3.29.46 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-ps-1-parshvanath-cobra-hood-silver-idol.png","SSM-PS-1","Parshvanath Cobra Hood Semi-solid Silver Idol","category-idols","92.5","125","3","","","","","","semi-solid","deity-parshvanath","A semi-solid 92.5% silver Parshvanath seated in meditation beneath a multi-headed cobra hood. Confirmed weight: 125 g; height: 3 inches.","Semi-solid 92.5% silver Parshvanath seated in meditation beneath a multi-headed cobra hood","","true","true"
"41","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-07 at 3.35.34 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-lg-6-lotus-base-lakshmi-ganesha-silver-idols.png","SSM-LG-6","Lotus Base Lakshmi Ganesha Semi-solid Silver Idols","category-idols","92.5","600","4.5","","","","","","semi-solid","deity-lakshmi | deity-ganesha","A semi-solid 92.5% silver Lakshmi Ganesha pair seated on broad individual lotus bases. Confirmed weight: 600 g; height: 4.5 inches.","Semi-solid 92.5% silver Lakshmi and Ganesha pair seated on broad individual lotus bases","","true","true"
"42","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-07 at 3.36.58 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-lg-7-footed-platform-lakshmi-ganesha-silver-idols.png","SSM-LG-7","Footed Platform Lakshmi Ganesha Silver Idols","category-idols","92.5","500","3.5","","","","","","semi-solid","deity-lakshmi | deity-ganesha","A semi-solid 92.5% silver Lakshmi Ganesha pair on separate ornate footed platforms. Confirmed weight: 500 g; height: 3.5 inches.","Semi-solid 92.5% silver Lakshmi and Ganesha pair on separate ornate footed platforms","","true","true"
"43","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-07 at 4.05.22 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/jh-10-ornate-peacock-floral-silver-jhula.png","JH-10","Large Ornate Peacock Floral Silver Jhula","category-gifts","92.5","1967","","","","Singhasan size 10/9","10","9","","","A large 92.5% silver peacock jhula weighing approximately 1967 g, with a 10 × 9 inch singhasan measured left-to-right × back-to-front.","Large 92.5% silver jhula with peacock finials, leaf crest, carved supports and suspended floral seat","","true","true"
"44","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-08 at 2.45.50 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/sd-01-ganesha-green-stone-silver-sindoor-dani.png","SD-01","Ganesha Green Stone Silver Sindoor Dani","category-gifts","92.5","155","2","","","","","","","","A round 92.5% silver Sindoor Dani with Ganesha medallion, green stones and lotus-petal rim. Confirmed weight: 155 g; height: 2 inches.","Round 92.5% silver Sindoor Dani with Ganesha medallion, green stones and lotus-petal rim","","true","true"
"45","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-08 at 2.47.49 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/sd-02-devotional-scene-topper-silver-sindoor-dani.png","SD-02","Devotional Scene Topper Silver Sindoor Dani","category-gifts","92.5","130","3","","","","","","","","A cylindrical 92.5% silver Sindoor Dani with devotional reliefs, jeweled details and seated figure topper. Confirmed weight: 130 g; height: 3 inches.","Cylindrical 92.5% silver Sindoor Dani with devotional reliefs, colored stones and figure topper","","true","true"
"46","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-08 at 2.49.43 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/sd-03-venkateswara-topper-green-stone-silver-sindoor-dani.png","SD-03","Venkateswara Topper Silver Sindoor Dani","category-gifts","92.5","120","3","","","","","","","","A rounded 92.5% silver Sindoor Dani with Venkateswara-style topper and green-and-purple stones. Confirmed weight: 120 g; height: 3 inches.","Rounded 92.5% silver Sindoor Dani with Venkateswara-style topper and green-purple stones","","true","true"
"47","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-08 at 2.51.02 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/sd-04-ruby-stone-stacked-pot-silver-sindoor-dani.png","SD-04","Ruby Stone Stacked Pot Silver Sindoor Dani","category-gifts","92.5","105","3","","","","","","","","A double-gourd 92.5% silver Sindoor Dani covered with ruby-colored stones and engraved bands. Confirmed weight: 105 g; height: 3 inches.","Double-gourd 92.5% silver Sindoor Dani with ruby-colored stones and engraved decorative bands","","true","true"
"48","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-08 at 3.50.24 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/sd-05-miniature-deity-floral-lid-silver-sindoor-dani.png","SD-05","Miniature Deity Floral Lid Silver Sindoor Dani","category-gifts","92.5","65","2","","","","","","","","A compact 92.5% silver Sindoor Dani with miniature deity relief, floral scrollwork and domed lid. Confirmed weight: 65 g; height: 2 inches.","Compact 92.5% silver Sindoor Dani with miniature deity relief, scrollwork and floral domed lid","","true","true"
"49","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-08 at 3.52.20 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/sd-06-peacock-ruby-stone-egg-silver-sindoor-dani.png","SD-06","Peacock Ruby Stone Egg Silver Sindoor Dani","category-gifts","92.5","75","2","","","","","","","","An egg-shaped 92.5% silver Sindoor Dani with peacock scrollwork and ruby-colored stones. Confirmed weight: 75 g; height: 2 inches.","Egg-shaped 92.5% silver Sindoor Dani with peacock scrollwork and ruby-colored stones","","true","true"
