"number","sourcePath","imagePath","reference","referenceFamily","title","slug","categoryId","utensilType","material","purity","weightGrams","heightInches","widthInches","depthInches","diameterInches","suppliedSizeLabel","idolConstruction","deityIds","shortDescription","alt","publishBlockers","readyForSanityAssetUpload","readyForProductPublish"
"11","C:/Users/kk/Desktop/img/WhatsApp Image 2026-09-05 at 5.41.08 PM.jpeg","public/images/gallery-ingestion/img-2026-09-10/images/11-engraved-round-silver-vessel-leaf-bands.png","DDA-UT-KL-110","","Engraved Leaf-Band Silver Kalash","engraved-leaf-band-silver-kalash","category-utensils","kalash","silver","","500","7","","","","","","","Round silver kalash with engraved leaf bands; label states 500 g and 7 in height.","Round silver kalash with engraved leaf bands","purity | labour","true","false"
"12","C:/Users/kk/Desktop/img/WhatsApp Image 2026-09-05 at 5.42.07 PM.jpeg","public/images/gallery-ingestion/img-2026-09-10/images/12-floral-engraved-round-silver-vessel.png","DDA-UT-KL-111","","Floral Engraved Silver Kalash","floral-engraved-silver-kalash","category-utensils","kalash","silver","","650","8","","","","","","","Round silver kalash with dense floral engraving; label states 650 g and 8 in height.","Floral engraved round silver kalash","purity | labour","true","false"
"13","C:/Users/kk/Desktop/img/WhatsApp Image 2026-09-05 at 5.44.18 PM.jpeg","public/images/gallery-ingestion/img-2026-09-10/images/13-om-relief-round-silver-vessel.png","DDA-UT-KL-112","","Om Relief Silver Kalash","om-relief-silver-kalash","category-utensils","kalash","silver","","800","8","","","","","","","Round silver kalash with Om relief, hanging bells and deity panels; label states 800 g and 8 in height.","Round silver kalash with Om relief and hanging bells","purity | labour","true","false"
"14","C:/Users/kk/Desktop/img/WhatsApp Image 2026-09-05 at 5.45.36 PM.jpeg","public/images/gallery-ingestion/img-2026-09-10/images/14-smooth-round-silver-vessel-10in.png","DDA-UT-KL-113","","Smooth Banded Silver Kalash","smooth-banded-silver-kalash-10in","category-utensils","kalash","silver","","1400","10","","","","","","","Smooth polished round silver kalash with horizontal bands; label states 1400 g and 10 in height.","Smooth polished round silver kalash with bands","purity | labour","true","false"
"15","C:/Users/kk/Desktop/img/WhatsApp Image 2026-09-05 at 5.46.45 PM.jpeg","public/images/gallery-ingestion/img-2026-09-10/images/15-smooth-round-silver-vessel-7in.png","DDA-UT-KL-114","","Dark-Band Silver Kalash 7 Inch","dark-band-silver-kalash-7in","category-utensils","kalash","silver","","500","7","","","","","","","Polished round silver kalash with a dark horizontal band; label states 500 g and 7 in height.","Seven-inch polished silver kalash with a stepped neck and dark horizontal bands","purity | labour","true","false"
"16","C:/Users/kk/Desktop/img/WhatsApp Image 2026-09-05 at 5.47.35 PM.jpeg","public/images/gallery-ingestion/img-2026-09-10/images/16-smooth-round-silver-vessel-8in.png","DDA-UT-KL-115","","Dark-Band Silver Kalash 8 Inch","dark-band-silver-kalash-8in","category-utensils","kalash","silver","","700","8","","","","","","","Polished round silver kalash with a dark horizontal band; label states 700 g and 8 in height.","Eight-inch rounded silver kalash with a flared rim and dark bands around the body","purity | labour","true","false"
"17","C:/Users/kk/Desktop/img/WhatsApp Image 2026-09-05 at 5.52.19 PM.jpeg","public/images/gallery-ingestion/img-2026-09-10/images/17-engraved-floral-silver-cylinder-8in.png","","","Engraved Floral Silver Pedestal 8 Inch","engraved-floral-silver-pedestal-8in","category-gifts","","silver","","750","8","","","","","","","Cylindrical silver pedestal with engraved floral panels and a closed decorated top; label states 750 g and 8 in height.","Engraved floral cylindrical silver pedestal","purity | labour | owner category confirmation | Item reference pending confirmed product category/type and live code allocation.","true","false"
"18","C:/Users/kk/Desktop/img/WhatsApp Image 2026-09-05 at 5.53.44 PM.jpeg","public/images/gallery-ingestion/img-2026-09-10/images/18-floral-silver-cylinder-10in.png","","","Floral Silver Pedestal 10 Inch","floral-silver-pedestal-10in","category-gifts","","silver","","1000","10","","","","","","","Cylindrical silver pedestal with floral engraved bands and a closed decorated top; label states 1 kg and 10 in height.","Floral engraved cylindrical silver pedestal","purity | labour | owner category confirmation | Item reference pending confirmed product category/type and live code allocation.","true","false"
"19","C:/Users/kk/Desktop/img/WhatsApp Image 2026-09-05 at 5.58.11 PM.jpeg","public/images/gallery-ingestion/img-2026-09-10/images/19-large-floral-silver-pedestal-12in.png","","","Large Floral Silver Pedestal 12 Inch","large-floral-silver-pedestal-12in","category-gifts","","silver","","1500","12","","","","","","","Large cylindrical silver pedestal with engraved floral band and closed decorated top; label states 1.5 kg and 12 in height.","Large cylindrical silver pedestal with floral engraving","purity | labour | owner category confirmation | Item reference pending confirmed product category/type and live code allocation.","true","false"
"20","C:/Users/kk/Desktop/img/WhatsApp Image 2026-09-05 at 6.00.01 PM.jpeg","public/images/gallery-ingestion/img-2026-09-10/images/20-ornate-silver-pedestal-14in.png","","","Ornate Silver Pedestal 14 Inch","ornate-silver-pedestal-14in","category-gifts","","silver","","2000","14","","","","","","","Large ornate cylindrical silver pedestal with engraved floral bands and flat decorated top; label states 2 kg and 14 in height.","Ornate cylindrical silver pedestal with engraved bands","purity | labour | owner category confirmation | Item reference pending confirmed product category/type and live code allocation.","true","false"
"21","C:/Users/kk/Desktop/img/WhatsApp Image 2026-09-05 at 6.01.26 PM.jpeg","public/images/gallery-ingestion/img-2026-09-10/images/21-checkerboard-silver-pedestal-10in.png","","","Checkerboard Silver Pedestal 10 Inch","checkerboard-silver-pedestal-10in","category-gifts","","silver","","1200","10","","","","","","","Cylindrical silver pedestal with checkerboard and floral engraved bands and a closed top; label states 1200 g and 10 in height.","Checkerboard and floral cylindrical silver pedestal","purity | labour | owner category confirmation | Item reference pending confirmed product category/type and live code allocation.","true","false"
"22","C:/Users/kk/Desktop/img/WhatsApp Image 2026-09-08 at 4.13.12 PM.jpeg","public/images/gallery-ingestion/img-2026-09-10/images/22-tall-ceremonial-silver-tripod-display.png","","","Tall Ceremonial Silver Tripod Display","tall-ceremonial-silver-tripod-display","category-gifts","","silver","","440","20","","","","","","","Tall ceremonial silver tripod display with a facial figure and circular halo; label states 440 g and 20 in height, identity pending owner confirmation.","Tall silver tripod display with facial figure and circular halo","purity | labour | owner identity/category confirmation | Item reference pending confirmed product category/type and live code allocation.","true","false"
"23","C:/Users/kk/Desktop/img/WhatsApp Image 2026-09-08 at 4.13.52 PM.jpeg","public/images/gallery-ingestion/img-2026-09-10/images/23-small-lidded-star-motif-silver-container.png","","","Small Lidded Star-Motif Silver Container","small-lidded-star-motif-silver-container","category-gifts","","silver","","130","5","","","","","","","Small lidded round silver container with star-shaped motifs and a floral lower band; label states 130 g and 5 in height.","Small lidded round silver container with star motifs","purity | labour | owner category confirmation | Item reference pending confirmed product category/type and live code allocation.","true","false"
