"source_filename","output_filename","item_title","weight_grams","height_inches","measurement_source","ocr_confidence","ready_for_upload","review_reasons"
"WhatsApp Image 2026-08-02 at 2.21.50 PM.jpeg","idol-106-kamdhenu-silver-idol-woven-texture-blanket.png","Kamdhenu Silver Idol with Woven-Texture Blanket","70","2.5","catalog","","true",""
"WhatsApp Image 2026-08-02 at 2.23.11 PM.jpeg","idol-107-painted-kamdhenu-silver-idol-cloud-base.png","Painted Kamdhenu Silver Idol on Cloud Base","100","3","catalog","","true",""
"WhatsApp Image 2026-08-02 at 2.23.54 PM.jpeg","idol-108-kamdhenu-silver-idol-sculpted-cloud-base.png","Kamdhenu Silver Idol on Sculpted Cloud Base","100","3","catalog","","true",""
"WhatsApp Image 2026-08-02 at 2.25.25 PM.jpeg","idol-109-painted-kamdhenu-silver-idol-floral-om-blanket-large.png","Painted Kamdhenu Silver Idol with Floral Om Blanket","225","4","catalog","","true",""
"WhatsApp Image 2026-08-02 at 2.26.44 PM.jpeg","idol-110-grand-painted-kamdhenu-silver-idol-floral-om-blanket.png","Grand Painted Kamdhenu Silver Idol with Floral Om Blanket","600","5.5","catalog","","true",""
"WhatsApp Image 2026-08-02 at 2.29.20 PM.jpeg","idol-111-painted-ram-darbar-silver-idol-set-yellow-compact.png","Painted Ram Darbar Silver Idol Set in Yellow","50","3.5","catalog","","true",""
"WhatsApp Image 2026-08-02 at 2.32.03 PM.jpeg","idol-112-ram-darbar-silver-idol-set-golden-highlights.png","Ram Darbar Silver Idol Set with Golden Highlights","65","3.5","catalog","","true",""
"WhatsApp Image 2026-08-02 at 2.33.16 PM.jpeg","idol-113-painted-ram-darbar-silver-idol-set-round-bases.png","Painted Ram Darbar Silver Idol Set on Round Bases","90","4","catalog","","true",""
"WhatsApp Image 2026-08-02 at 2.38.18 PM.jpeg","idol-114-large-ram-darbar-silver-idol-set-lotus-bases.png","Large Ram Darbar Silver Idol Set on Lotus Bases","550","7.5","catalog","","true",""
"WhatsApp Image 2026-08-02 at 2.39.46 PM.jpeg","idol-115-large-painted-ram-darbar-silver-idol-set-lotus-bases.png","Large Painted Ram Darbar Silver Idol Set on Lotus Bases","500","7.5","catalog","","true",""
"WhatsApp Image 2026-08-02 at 2.45.10 PM.jpeg","idol-116-grand-painted-ram-darbar-silver-idol-set.png","Grand Painted Ram Darbar Silver Idol Set","850","10","catalog","","true",""
"WhatsApp Image 2026-08-02 at 2.49.31 PM.jpeg","idol-117-durga-silver-idol-lion-golden-highlights-large.png","Durga Silver Idol on Lion with Golden Highlights","450","8.5","catalog","","true",""
"WhatsApp Image 2026-08-02 at 2.51.14 PM.jpeg","idol-118-painted-durga-silver-idol-lion-red-green.png","Painted Durga Silver Idol on Lion in Red and Green","250","7.5","catalog","","true",""
"WhatsApp Image 2026-08-02 at 2.52.28 PM.jpeg","idol-119-seated-rama-sita-silver-idol-pair.png","Seated Rama and Sita Silver Idol Pair","70","4","catalog","","true",""
"WhatsApp Image 2026-08-02 at 2.53.42 PM.jpeg","idol-120-ram-darbar-silver-idol-set-rectangular-bases.png","Ram Darbar Silver Idol Set with Rectangular Bases","200","6","catalog","","true",""
"WhatsApp Image 2026-08-02 at 2.55.16 PM.jpeg","idol-121-painted-ram-darbar-silver-idol-set-red-yellow.png","Painted Ram Darbar Silver Idol Set in Red and Yellow","200","6","catalog","","true",""
"WhatsApp Image 2026-08-02 at 2.58.22 PM.jpeg","idol-122-radha-krishna-silver-idol-flute-gold-accents.png","Radha Krishna Silver Idol with Flute and Gold Accents","80","5.5","catalog","","true",""
"WhatsApp Image 2026-08-02 at 3.00.20 PM.jpeg","idol-123-large-radha-krishna-silver-idol-pair-lotus-bases.png","Large Radha Krishna Silver Idol Pair on Lotus Bases","570","8","catalog","","true",""
"WhatsApp Image 2026-08-02 at 3.01.10 PM.jpeg","idol-124-tall-radha-krishna-silver-idol-pair-peacock.png","Tall Radha Krishna Silver Idol Pair with Peacock","500","10","catalog","","true",""
"WhatsApp Image 2026-08-02 at 3.37.48 PM.jpeg","idol-125-painted-radha-krishna-silver-idol-yellow-pink-tall.png","Painted Radha Krishna Silver Idol in Yellow and Pink","400","10","catalog","","true",""
"WhatsApp Image 2026-08-02 at 3.38.38 PM.jpeg","idol-126-tall-radha-krishna-silver-idol-flute-lotus.png","Tall Radha Krishna Silver Idol with Flute on Lotus","400","10","catalog","","true",""
"WhatsApp Image 2026-08-02 at 3.39.36 PM.jpeg","idol-127-painted-radha-krishna-silver-idol-red-yellow.png","Painted Radha Krishna Silver Idol in Red and Yellow","200","7","catalog","","true",""
"WhatsApp Image 2026-08-02 at 3.40.26 PM.jpeg","idol-128-painted-radha-krishna-silver-idol-cow-yellow.png","Painted Radha Krishna Silver Idol with Cow","150","6","catalog","","true",""
"WhatsApp Image 2026-08-02 at 3.42.21 PM.jpeg","idol-129-painted-radha-krishna-silver-idol-layered-lotus.png","Painted Radha Krishna Silver Idol on Layered Lotus","125","7","catalog","","true",""
"WhatsApp Image 2026-08-02 at 3.42.58 PM.jpeg","idol-130-radha-krishna-silver-idol-flute-double-lotus.png","Radha Krishna Silver Idol with Flute on Double Lotus","150","7","catalog","","true",""
"WhatsApp Image 2026-08-02 at 3.43.57 PM.jpeg","idol-131-compact-radha-krishna-silver-idol-flute.png","Compact Radha Krishna Silver Idol with Flute","35","3.5","catalog","","true",""
"WhatsApp Image 2026-08-02 at 3.48.20 PM.jpeg","idol-132-lakshmi-ganesha-silver-idol-pair-lotus-bases-large.png","Lakshmi Ganesha Silver Idol Pair on Lotus Bases","150","4.5","catalog","","true",""
"WhatsApp Image 2026-08-02 at 3.50.57 PM.jpeg","idol-133-lakshmi-ganesha-silver-idol-pair-square-seats.png","Lakshmi Ganesha Silver Idol Pair on Square Seats","100","4","catalog","","true",""
"WhatsApp Image 2026-08-02 at 3.52.29 PM.jpeg","idol-134-lakshmi-ganesha-silver-idol-pair-drum-seats.png","Lakshmi Ganesha Silver Idol Pair on Drum Seats","200","5","catalog","","true",""
"WhatsApp Image 2026-08-02 at 3.55.38 PM.jpeg","idol-135-shiva-family-silver-idol-nandi-shivling.png","Shiva Family Silver Idol with Nandi and Shivling","150","5.5","catalog","","true",""
"WhatsApp Image 2026-08-02 at 3.56.15 PM.jpeg","idol-136-painted-shiva-family-silver-idol-nandi-shivling.png","Painted Shiva Family Silver Idol with Nandi and Shivling","150","5.5","catalog","","true",""
"WhatsApp Image 2026-08-02 at 3.57.17 PM.jpeg","idol-137-painted-kuber-silver-idol-throne-yellow.png","Painted Kuber Silver Idol on Throne","30","3","catalog","","true",""
"WhatsApp Image 2026-08-02 at 3.59.03 PM.jpeg","idol-138-standing-hanuman-silver-idol-mace.png","Standing Hanuman Silver Idol with Mace","25","3","catalog","","true",""
"WhatsApp Image 2026-08-02 at 3.59.55 PM.jpeg","idol-139-kneeling-hanuman-silver-idol-mace.png","Kneeling Hanuman Silver Idol with Mace","40","3","catalog","","true",""
"WhatsApp Image 2026-08-02 at 4.00.33 PM.jpeg","idol-140-seated-hanuman-silver-idol-mace-compact.png","Seated Hanuman Silver Idol with Mace","20","2","catalog","","true",""
"WhatsApp Image 2026-08-02 at 4.01.30 PM.jpeg","idol-141-miniature-hanuman-silver-idol-trio.png","Miniature Hanuman Silver Idol Trio","10","2","catalog","","true",""
"WhatsApp Image 2026-08-02 at 4.02.38 PM.jpeg","idol-142-saraswati-silver-idol-veena-round-base.png","Saraswati Silver Idol with Veena on Round Base","30","3","catalog","","true",""
"WhatsApp Image 2026-08-02 at 4.04.27 PM.jpeg","idol-143-painted-bal-krishna-silver-idol-butter-pot-large.png","Painted Bal Krishna Silver Idol with Butter Pot","45","4","catalog","","true",""
"WhatsApp Image 2026-08-02 at 4.05.53 PM.jpeg","idol-144-auspicious-fish-silver-figurine.png","Auspicious Fish Silver Figurine","10","1.5","catalog","","true",""
