"number","originalNumber","sourcePath","imagePath","reference","title","slug","categoryId","productTerminology","utensilType","material","purity","sourcePurityClaim","weightGrams","heightInches","widthInches","depthInches","diameterInches","suppliedSizeLabel","singhasanWidthInches","singhasanDepthInches","dimensionRequirementWaivedByOwner","dimensionInterpretation","idolConstruction","deityIds","shortDescription","alt","publishBlockers","readyForSanityAssetUpload","readyForProductPublish"
"15",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-22 at 3.34.42 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/15-domed-single-chamber-silver-hatri.png","DDA-GF-PICS-15","Domed Single-Chamber Silver Hatri","domed-single-chamber-silver-hatri","category-gifts","Hatri — a house-shaped Diwali puja article.",,"silver","92.5",,"450","22",,,,,,,,,,"","A single-chamber house-shaped silver Hatri with a domed roof, flag and ritual cups for Diwali puja. Weight: 450 g. Supplied height: 22 in. Purity: 92.5%.","Single-chamber house-shaped silver Hatri with domed roof, flag and ritual cups","","True","True"
"16",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-22 at 3.36.20 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/16-om-flag-domed-silver-hatri.png","DDA-GF-PICS-16","Om-Flag Domed Silver Hatri","om-flag-domed-silver-hatri","category-gifts","Hatri — a house-shaped Diwali puja article.",,"silver","92.5",,"450","11",,,,,,,,,,"","A domed house-shaped silver Hatri with an Om flag and four ritual cups for Diwali puja. Weight: 450 g. Height: 11 in. Purity: 92.5%.","Domed house-shaped silver Hatri with Om flag and four ritual cups","","True","True"
"17",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-22 at 3.39.15 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/17-petite-pointed-dome-silver-hatri.png","DDA-GF-PICS-17","Petite Pointed-Dome Silver Hatri","petite-pointed-dome-silver-hatri","category-gifts","Hatri — a house-shaped Diwali puja article.",,"silver","92.5",,"458","9",,,,,,,,,,"","A petite house-shaped silver Hatri with a pointed dome, finial and three ritual cups for Diwali puja. Weight: 458 g. Height: 9 in. Purity: 92.5%.","Petite house-shaped silver Hatri with pointed dome, finial and three ritual cups","","True","True"
"18",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-22 at 3.42.29 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/18-peacock-arch-silver-jhula.png","JH-18","Peacock-Arch Silver Jhula","peacock-arch-silver-jhula","category-jhula",,,"silver","92.5",,"545",,,,,"5/4inch","5","4",,,,"","An ornate silver jhula with peacock details, floral arches and a suspended seat. Weight: 545 g. Singhasan: 5 × 4 in. Purity: 92.5%.","Ornate silver jhula with peacock details, floral arches and suspended seat","","True","True"
"19",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-22 at 3.44.44 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/19-twin-peacock-singhasan-silver-jhula.png","JH-19","Twin-Peacock Singhasan Silver Jhula","twin-peacock-singhasan-silver-jhula","category-jhula",,,"silver","92.5",,"572",,,,,"5/3inch","5","3",,,,"","A silver jhula with a rectangular singhasan, bird-form ends and twin-peacock crest. Weight: 572 g. Singhasan: 5 × 3 in. Purity: 92.5%.","Silver jhula with rectangular singhasan, bird-form ends and twin-peacock crest","","True","True"
"20",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-22 at 7.07.56 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/20-compact-om-flag-silver-hatri.png","DDA-GF-PICS-20","Compact Om-Flag Silver Hatri","compact-om-flag-silver-hatri","category-gifts","Hatri — a house-shaped Diwali puja article.",,"silver","92.5",,"265","8",,,,,,,,,,"","A compact single-chamber silver Hatri with an Om flag and four ritual cups for Diwali puja. Weight: 265 g. Height: 8 in. Purity: 92.5%.","Compact single-chamber silver Hatri with Om flag and four ritual cups","","True","True"
"21",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-22 at 7.10.33 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/21-miniature-om-flag-silver-hatri.png","DDA-GF-PICS-21","Miniature Om-Flag Silver Hatri","miniature-om-flag-silver-hatri","category-gifts","Hatri — a house-shaped Diwali puja article.",,"silver","92.5",,"125","6",,,,,,,,,,"","A miniature single-chamber silver Hatri with an Om flag and four ritual cups for Diwali puja. Weight: 125 g. Height: 6 in. Purity: 92.5%.","Miniature single-chamber silver Hatri with Om flag and four ritual cups","","True","True"
"22",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-22 at 7.11.58 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/22-two-tier-four-cup-silver-hatri.png","DDA-GF-PICS-22","Two-Tier Four-Cup Silver Hatri","two-tier-four-cup-silver-hatri","category-gifts","Hatri — a house-shaped Diwali puja article.",,"silver","92.5",,"425","9",,,,,,,,,,"","A two-tier house-shaped silver Hatri with arched openings, four ritual cups and an Om flag for Diwali puja. Weight: 425 g. Height: 9 in. Purity: 92.5%.","Two-tier house-shaped silver Hatri with arched openings, four ritual cups and Om flag","","True","True"
"23",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-22 at 7.13.03 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/23-gemstone-three-tier-silver-hatri.png","DDA-GF-PICS-23","Gemstone Three-Tier Silver Hatri","gemstone-three-tier-silver-hatri","category-gifts","Hatri — a house-shaped Diwali puja article.",,"silver","92.5","100% Pure","125","8",,,,,,,,,,"","A lightweight three-tier silver Hatri with green and yellow stone accents and an Om flag for Diwali puja. Weight: 125 g. Height: 8 in. Purity: 92.5%.","Three-tier silver Hatri with green and yellow stone accents and Om flag","","True","True"
"24",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 1.04.29 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/24-horse-drawn-carriage-silver-sculpture.png","DDA-GF-PICS-24","Horse-Drawn Carriage Silver Sculpture","horse-drawn-carriage-silver-sculpture","category-gifts",,,"silver","92.5",,"1312",,,,,,,,"True",,,"","A detailed silver horse-drawn carriage sculpture with ornate coachwork and turning wheels. Weight: 1,312 g. Purity: 92.5%.","Detailed silver horse-drawn carriage sculpture with ornate coachwork","","True","True"
"25",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 1.07.01 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/25-vintage-automobile-silver-sculpture.png","DDA-GF-PICS-25","Vintage Automobile Silver Sculpture","vintage-automobile-silver-sculpture","category-gifts",,,"silver","92.5",,"1220","5.5",,,,,,,,,,"","A silver vintage automobile sculpture with open cabin, engraved bodywork and detailed wheels. Weight: 1,220 g. Height: 5.5 in. Purity: 92.5%.","Silver vintage automobile sculpture with open cabin and detailed wheels","","True","True"
"26",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 1.08.26 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/26-village-water-carrier-silver-sculpture.png","DDA-GF-PICS-26","Village Water-Carrier Silver Sculpture","village-water-carrier-silver-sculpture","category-gifts",,,"silver","92.5",,"1237","11",,,,,,,,,,"","A silver village scene with a water carrier, three pots, tree, seated figure and reclining animal. Weight: 1,237 g. Height: 11 in. Purity: 92.5%.","Silver village scene with water carrier, pots, tree, seated figure and animal","","True","True"
"27",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 1.12.34 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/27-ram-darbar-silver-idol-tableau.png","SSM-RD-1","Ram Darbar Silver Idol Tableau","ram-darbar-silver-idol-tableau","category-idols",,,"silver","92.5",,"3333","8",,,,,,,,,"semi-solid","deity-rama; deity-sita; deity-hanuman","A large Ram Darbar silver tableau with seated Rama and Sita, standing attendants and Hanuman. Weight: 3,333 g. Height: 8 in. Purity: 92.5%.","Ram Darbar silver tableau with seated Rama and Sita, attendants and Hanuman","","True","True"
"28",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 1.17.39 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/28-enamel-peacock-silver-sculpture.png","DDA-GF-PICS-28","Enamel Peacock Silver Sculpture","enamel-peacock-silver-sculpture","category-gifts",,,"silver","92.5",,"767","11",,,,,,,,,,"","A silver peacock sculpture with blue body, green enamel tail and pink-accented base. Weight: 767 g. Height: 11 in. Purity: 92.5%.","Silver peacock sculpture with blue body, green enamel tail and pink base","","True","True"
"29",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 1.22.16 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/29-paired-swan-silver-sculpture.png","DDA-GF-PICS-29","Paired Swan Silver Sculpture","paired-swan-silver-sculpture","category-gifts",,,"silver","92.5",,"240","1.5",,,,,,,,,,"","A paired silver swan sculpture with fanned tails and inward-curving necks. Weight: 240 g. Height: 1.5 in. Purity: 92.5%.","Paired silver swans with fanned tails and inward-curving necks","","True","True"
"30",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 1.23.24 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/30-eagle-in-flight-silver-sculpture.png","DDA-GF-PICS-30","Eagle-in-Flight Silver Sculpture","eagle-in-flight-silver-sculpture","category-gifts",,,"silver","92.5",,"60","2.5",,,,,,,,,,"","A silver eagle sculpture captured in flight above a textured branch base. Weight: 60 g. Height: 2.5 in. Purity: 92.5%.","Silver eagle in flight above a textured branch base","","True","True"
"31",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 1.27.53 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/31-paired-falcon-silver-sculpture.png","DDA-GF-PICS-31","Paired Falcon Silver Sculptures","paired-falcon-silver-sculptures","category-gifts",,,"silver","92.5",,"85","2.5",,,,,,,,,,"","A pair of perched silver falcon sculptures on textured branch bases. Weight: 85 g. Height: 2.5 in. Purity: 92.5%.","Pair of perched silver falcons on textured branch bases","","True","True"
"32",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 1.32.26 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/32-deer-pair-silver-sculpture.png","DDA-GF-PICS-32","Deer Pair Silver Sculptures","deer-pair-silver-sculptures","category-gifts",,,"silver","92.5",,"55","2.5",,,,,,,,,,"","A pair of silver deer sculptures in standing and resting poses. Weight: 55 g. Height: 2.5 in. Purity: 92.5%.","Pair of silver deer in standing and resting poses","","True","True"
"33","34","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 1.33.40 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/34-walking-leopard-silver-sculpture.png","DDA-GF-PICS-34","Walking Leopard Silver Sculpture","walking-leopard-silver-sculpture","category-gifts",,,"silver","92.5",,"32",,"3",,,"Length 3 inch",,,,,,"","A compact walking leopard silver sculpture with engraved spots and poised stance. Weight: 32 g. Supplied length: 3 in. Purity: 92.5%.","Compact walking leopard silver sculpture with engraved spots","","True","True"
"34","35","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 12.51.51 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/35-embossed-ceremonial-gada.png","DDA-GF-PICS-35","Embossed Ceremonial Silver Gada","embossed-ceremonial-silver-gada","category-gifts",,,"silver","92.5",,"640","23",,,,,,,,,,"","A large ceremonial silver gada with embossed shaft, fluted head and pointed finial. Weight: 640 g. Height: 23 in. Purity: 92.5%.","Large embossed ceremonial silver gada with fluted head and pointed finial","","True","True"
"35","36","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 12.54.38 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/36-vintage-pickup-truck-silver-sculpture.png","DDA-GF-PICS-36","Vintage Pickup Truck Silver Sculpture","vintage-pickup-truck-silver-sculpture","category-gifts",,,"silver","92.5",,"715","4.5",,,,,,,,,,"","An ornate silver vintage pickup truck sculpture with engraved body panels and detailed wheels. Weight: 715 g. Height: 4.5 in. Purity: 92.5%.","Ornate silver vintage pickup truck sculpture with engraved body and detailed wheels","","True","True"
"36","37","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 12.59.10 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/37-camel-cart-silver-sculpture.png","DDA-GF-PICS-37","Camel Cart Silver Sculpture","camel-cart-silver-sculpture","category-gifts",,,"silver","92.5",,"1145",,,,,,,,"True",,,"","A detailed silver camel-drawn cart sculpture with ornate harness, canopy and wheels. Weight: 1,145 g. Purity: 92.5%.","Detailed silver camel-drawn cart with ornate harness, canopy and wheels","","True","True"
"37","38","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 3.41.23 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/38-laddu-gopal-crawling-silver-idol.png","SSM-BK-2","Laddu Gopal Crawling Silver Idol","laddu-gopal-crawling-silver-idol","category-idols",,,"silver","92.5",,"215","4",,,,,,,,,"semi-solid","deity-krishna","A crawling Laddu Gopal silver idol holding a round laddu, with engraved jewellery and hair. Weight: 215 g. Height: 4 in. Purity: 92.5%.","Crawling Laddu Gopal silver idol holding a round laddu","","True","True"
"38","39","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 3.42.48 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/39-ornate-laddu-gopal-crawling-silver-idol.png","SSM-BK-3","Ornate Laddu Gopal Crawling Silver Idol","ornate-laddu-gopal-crawling-silver-idol","category-idols",,,"silver","92.5",,"165","3.5",,,,,,,,,"semi-solid","deity-krishna","An ornate crawling Laddu Gopal silver idol holding a laddu, with detailed hair and necklaces. Weight: 165 g. Height: 3.5 in. Purity: 92.5%.","Ornate crawling Laddu Gopal silver idol holding a laddu with detailed jewellery","","True","True"
"39","40","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 3.44.31 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/40-petite-laddu-gopal-crawling-silver-idol.png","SSM-BK-4","Petite Laddu Gopal Crawling Silver Idol","petite-laddu-gopal-crawling-silver-idol","category-idols",,,"silver","92.5",,"136","2.5",,,,,,,,,"semi-solid","deity-krishna","A petite crawling Laddu Gopal silver idol holding a laddu with fine engraved ornaments. Weight: 136 g. Height: 2.5 in. Purity: 92.5%.","Petite crawling Laddu Gopal silver idol holding a laddu","","True","True"
"40","41","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 3.48.55 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/41-gold-pink-crest-octagonal-silver-box.png","DDA-GF-PICS-41","Gold-and-Pink Crest Octagonal Silver Box","gold-and-pink-crest-octagonal-silver-box","category-gifts",,,"silver","92.5",,"230",,"4","3",,"4/3inch",,,,,,"","An octagonal embossed silver keepsake box with gold-tone and pink floral crest. Weight: 230 g. Supplied size: 4 × 3 in. Purity: 92.5%.","Octagonal embossed silver box with gold-tone and pink floral crest","","True","True"
"41","42","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 3.51.38 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/42-enamel-floral-octagonal-silver-box.png","DDA-GF-PICS-42","Enamel Floral Octagonal Silver Box","enamel-floral-octagonal-silver-box","category-gifts",,,"silver","92.5",,"250",,"3.5","3.5",,"3.5/3.5inch",,,,,,"","An octagonal embossed silver box with gold floral details and pink-green enamel accents. Weight: 250 g. Supplied size: 3.5 × 3.5 in. Purity: 92.5%.","Octagonal embossed silver box with gold floral and pink-green enamel details","","True","True"
"42","43","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 3.52.33 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/43-floral-jewel-octagonal-silver-box.png","DDA-GF-PICS-43","Floral-Jewel Octagonal Silver Box","floral-jewel-octagonal-silver-box","category-gifts",,,"silver","92.5",,"235",,"3.5","3.5",,"3.5/3.5inch",,,,,,"","An octagonal embossed silver box with a square floral jewel medallion. Weight: 235 g. Supplied size: 3.5 × 3.5 in. Purity: 92.5%.","Octagonal embossed silver box with square floral jewel medallion","","True","True"
"43","44","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 3.53.20 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/44-domed-enamel-octagonal-silver-box.png","DDA-GF-PICS-44","Domed Enamel Octagonal Silver Box","domed-enamel-octagonal-silver-box","category-gifts",,,"silver","92.5",,"240",,"4","4",,"4/4inch",,,,,,"","A domed octagonal silver box with gold ribs and pink-green floral finial. Weight: 240 g. Supplied size: 4 × 4 in. Purity: 92.5%.","Domed octagonal silver box with gold ribs and pink-green floral finial","","True","True"
"44","45","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 3.54.38 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/45-square-medallion-octagonal-silver-box.png","DDA-GF-PICS-45","Square-Medallion Octagonal Silver Box","square-medallion-octagonal-silver-box","category-gifts",,,"silver","92.5",,"240",,"3.5","3.5",,"3.5/3.5inch",,,,,,"","An octagonal silver box with dense embossing and square floral medallion. Weight: 240 g. Supplied size: 3.5 × 3.5 in. Purity: 92.5%.","Octagonal embossed silver box with square floral medallion","","True","True"
"45","46","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 3.55.46 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/46-enamel-floral-rectangular-silver-box.png","DDA-GF-PICS-46","Enamel Floral Rectangular Silver Box","enamel-floral-rectangular-silver-box","category-gifts",,,"silver","92.5",,"935",,"7","4",,"7/4inch",,,,,,"","A large rectangular stepped silver box with a colourful enamel floral lid. Weight: 935 g. Supplied size: 7 × 4 in. Purity: 92.5%.","Large rectangular stepped silver box with colourful enamel floral lid","","True","True"
"46","47","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 3.56.40 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/47-faceted-floral-footed-silver-box.png","DDA-GF-PICS-47","Faceted Floral Footed Silver Box","faceted-floral-footed-silver-box","category-gifts",,,"silver","92.5",,"280",,"4.5","3",,"4.5/3inch",,,,,,"","A small faceted footed silver box with dense floral engraving. Weight: 280 g. Supplied size: 4.5 × 3 in. Purity: 92.5%.","Small faceted footed silver box with dense floral engraving","","True","True"
"47","48","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 3.58.13 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/48-floral-lattice-oval-silver-box.png","DDA-GF-PICS-48","Floral-Lattice Oval Silver Box","floral-lattice-oval-silver-box","category-gifts",,,"silver","92.5",,"565",,"8.5","7",,"8.5/7inch",,,,,,"","A large oval silver box with floral and lattice relief across its domed lid. Weight: 565 g. Supplied size: 8.5 × 7 in. Purity: 92.5%.","Large oval silver box with floral and lattice relief on domed lid","","True","True"
