"number","sourcePath","imagePath","reference","title","categoryId","utensilType","purity","weightGrams","heightInches","widthInches","depthInches","diameterInches","suppliedSizeLabel","singhasanWidthInches","singhasanDepthInches","idolConstruction","deityIds","sizeVariants","recordType","parentReference","shortDescription","alt","publishBlockers","readyForSanityAssetUpload","readyForProductPublish"
"15","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-15 at 3.58.08 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/bt-02-fluted-shoulder-floral-silver-bottle-9-5in.png","DDA-UT-BT-100","Fluted-Shoulder Floral Silver Bottle","category-utensils","bottle","92.5","400","9.5","","","","","","","","","","","","A silver bottle weighing 400 g and standing 9.5 in high, with a fluted shoulder, engraved floral body panels and fitted cap. Purity: 92.5%.","Silver bottle with fluted shoulder, engraved floral body panels and fitted cap","","true","true"
"16","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-15 at 3.59.40 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/bt-03-arched-botanical-panel-silver-bottle-9-5in.png","DDA-UT-BT-101","Arched Botanical-Panel Silver Bottle","category-utensils","bottle","92.5","400","9.5","","","","","","","","","","","","A silver bottle weighing 400 g and standing 9.5 in high, with arched botanical panels, a tapered neck and fitted decorative cap. Purity: 92.5%.","Silver bottle with arched botanical panels, tapered neck and fitted decorative cap","","true","true"
"17","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-15 at 4.03.04 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/bt-04-rectangular-scroll-panel-silver-bottle-10in.png","DDA-UT-BT-102","Rectangular Scroll-Panel Silver Bottle","category-utensils","bottle","92.5","485","10","","","","","","","","","","","","A silver bottle weighing 485 g and standing 10 in high, with rectangular scrollwork panels, polished shoulder and fitted cap. Purity: 92.5%.","Silver bottle with rectangular scrollwork panels, polished shoulder and fitted cap","","true","true"
"18","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-15 at 4.05.03 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/bt-05-plain-polished-silver-bottle-8in.png","DDA-UT-BT-103","Plain Polished Silver Bottle","category-utensils","bottle","92.5","300","8","","","","","","","","","","","","A plain polished silver bottle weighing 300 g and standing 8 in high, with a smooth cylindrical body, rounded shoulder and fitted cap. Purity: 92.5%.","Plain polished silver bottle with smooth cylindrical body, rounded shoulder and fitted cap","","true","true"
"19","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-15 at 4.06.54 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/bt-06-plain-brushed-silver-bottle-10in.png","DDA-UT-BT-104","Plain Brushed Silver Bottle","category-utensils","bottle","92.5","325","10","","","","","","","","","","","","A plain brushed silver bottle weighing 325 g and standing 10 in high, with a tall cylindrical profile, rounded shoulder and fitted cap. Purity: 92.5%.","Plain brushed silver bottle with tall cylindrical profile, rounded shoulder and fitted cap","","true","true"
"20","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-15 at 4.17.28 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/bt-07-faceted-leaf-panel-silver-bottle-11in.png","DDA-UT-BT-105","Faceted Leaf-Panel Silver Bottle","category-utensils","bottle","92.5","550","11","","","","","","","","","","","","A tall silver bottle weighing 550 g and standing 11 in high, with faceted shoulders, leaf-pattern panels and a fitted decorative cap. Purity: 92.5%.","Tall silver bottle with faceted shoulders, leaf-pattern panels and fitted decorative cap","","true","true"
"21","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-15 at 4.19.59 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/bt-08-frosted-chivas-regal-silver-wine-bottle-10-5in.png","DDA-UT-BT-106","Frosted Engraved Silver Wine Bottle","category-utensils","bottle","92.5","725","10.5","","","","","","","","","","","","A frosted silver wine bottle weighing 725 g and standing 10.5 in high, with floral engraving and the original Chivas Regal lettering visible on the vessel. Purity: 92.5%.","Frosted silver wine bottle with floral engraving and original Chivas Regal lettering","","true","true"
"22","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-15 at 4.21.31 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/bt-09-blackdog-floral-panel-silver-wine-bottle-12in.png","DDA-UT-BT-107","Blackdog Floral-Panel Silver Wine Bottle","category-utensils","bottle","92.5","500","12","","","","","","","","","","","","A silver wine bottle weighing 500 g and standing 12 in high, with floral relief panels and the original vertical BLACKDOG lettering. Purity: 92.5%.","Silver wine bottle with floral relief panels and vertical BLACKDOG lettering","","true","true"
"23","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-15 at 4.23.17 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/bt-10-enamel-peacock-elephant-silver-bottle-10in.png","DDA-UT-BT-108","Enamel Peacock-and-Elephant Silver Bottle","category-utensils","bottle","92.5","360","10","","","","","","","","","","","","A silver bottle weighing 360 g and standing 10 in high, with multicolour enamel peacocks, elephants, floral panels and gold-tone borders. Purity: 92.5%.","Silver bottle with multicolour enamel peacocks, elephants, floral panels and gold-tone borders","","true","true"
"24","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-15 at 4.38.04 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/jpb-01-plain-nine-piece-silver-jain-pooja-box-set.png","JPB-01","Plain Nine-Piece Silver Jain Pooja Box Set","category-gifts","","92.5","","","","","","","","","","","{""weightGrams"":350,""diameterInches"":5} | {""weightGrams"":450,""diameterInches"":6} | {""weightGrams"":550,""diameterInches"":7} | {""weightGrams"":800,""diameterInches"":8}","","","A plain nine-piece Jain pooja box set offered in four supplied variants: 350 g/5 in, 450 g/6 in, 550 g/7 in and 800 g/8 in. Purity: 92.5%.","Nine-piece plain silver Jain pooja box set arranged with four supplied weight-and-diameter variants","","true","true"
"25","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-15 at 4.48.27 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/sd-01-scrollwork-glass-lid-silver-sindoor-dani.png","SD-11","Scrollwork Glass-Lid Silver Sindoor Dani","category-gifts","","92.5","30","3","","","2.5","","","","","","","","","A silver Sindoor Dani weighing 30 g, with engraved scrollwork, transparent glass lid and finial, supplied at 3 in high and 2.5 in diameter. Purity: 92.5%.","Silver Sindoor Dani with engraved scrollwork, transparent glass lid and decorative finial","","true","true"
"26","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-15 at 4.51.42 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/sd-02-plain-glass-lid-silver-sindoor-dani.png","SD-12","Plain Glass-Lid Silver Sindoor Dani","category-gifts","","92.5","30","3","","","2.5","","","","","","","","","A plain silver Sindoor Dani weighing 30 g, with a smooth round body, transparent glass lid and finial, supplied at 3 in high and 2.5 in diameter. Purity: 92.5%.","Plain round silver Sindoor Dani with transparent glass lid and decorative finial","","true","true"
"27","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-15 at 4.53.34 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/sd-03-fluted-floral-lidded-silver-sindoor-dani.png","SD-13","Fluted Floral-Lidded Silver Sindoor Dani","category-gifts","","92.5","35","2.5","","","2","","","","","","","","","A silver Sindoor Dani weighing 35 g, with a fluted body, floral relief and fitted domed lid, supplied at 2.5 in high and 2 in diameter. Purity: 92.5%.","Silver Sindoor Dani with fluted body, floral relief and fitted domed lid","","true","true"
"28","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-15 at 4.55.19 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/sd-04-plain-glass-lid-silver-sindoor-dani-3in.png","SD-14","Wide Plain Glass-Lid Silver Sindoor Dani","category-gifts","","92.5","60","3","","","3","","","","","","","","","A wide plain silver Sindoor Dani weighing 60 g, with a transparent glass lid and smooth round body, supplied at 3 in high and 3 in diameter. Purity: 92.5%.","Wide plain silver Sindoor Dani with transparent glass lid and smooth round body","","true","true"
"29","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-15 at 4.56.40 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/sd-05-scrollwork-glass-lid-silver-sindoor-dani-3in.png","SD-15","Wide Scrollwork Glass-Lid Silver Sindoor Dani","category-gifts","","92.5","50","3","","","3","","","","","","","","","A wide silver Sindoor Dani weighing 50 g, with engraved scrollwork and a transparent glass lid, supplied at 3 in high and 3 in diameter. Purity: 92.5%.","Wide silver Sindoor Dani with engraved scrollwork, transparent glass lid and central finial","","true","true"
"30","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-15 at 4.57.56 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/sd-06-floral-crystal-knob-silver-sindoor-dani-4in.png","SD-16","Floral Crystal-Knob Silver Sindoor Dani","category-gifts","","92.5","50","4","","","3","","","","","","","","","A silver Sindoor Dani weighing 50 g, with floral relief, tall lid and crystal-style knob, supplied at 4 in high and 3 in diameter. Purity: 92.5%.","Silver Sindoor Dani with floral relief, tall fitted lid and crystal-style knob","","true","true"
"31","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-15 at 5.37.44 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/hg-01-silver-finish-hollow-gun-display-set.png","HG-01","Hollow Gun Silver Display Set","category-gifts","","99.80","160","","","","","","","","","","","","","A decorative hollow gun-shaped silver display piece supplied at 160 g. Physical dimensions are not required. Includes two confirmed gallery views. Purity: 99.80%.","Decorative hollow gun-shaped silver display piece with sealed eight-capsule pack","","true","true"
"32","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-15 at 5.37.56 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/hg-02-silver-finish-hollow-gun-display-set-alt.png","HG-02","Hollow Gun Silver Display Set — Alternate View","category-gifts","","99.80","160","","","","","","","","","","","alternateGalleryImage","HG-01","An alternate view of the decorative hollow gun-shaped silver display piece, supplied at 160 g. Physical dimensions are not required. Purity: 99.80%.","Alternate view of a decorative hollow gun-shaped silver display piece","","true","true"
"33","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-18 at 12.31.38 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/pr-01-peacock-floral-silver-clutch-purse.png","PR-23","Peacock Floral Silver Clutch Purse","category-purse","","92.5","410","","","","","","","","","","","","","A silver clutch purse weighing 410 g, with a sculpted handle, peacock motifs, dense floral relief, curved flap and central clasp. Purity: 92.5%.","Silver clutch purse with sculpted handle, peacock motifs, dense floral relief and curved flap","","true","true"
"34","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-18 at 12.33.07 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/pr-02-gold-lattice-pearl-fringe-silver-clutch-purse.png","PR-24","Gold-Lattice Pearl-Fringe Silver Clutch Purse","category-purse","","92.5","414","","","","","","","","","","","","","A silver-and-gold clutch purse weighing 414 g, with floral lattice, pearl fringe, jeweled accents, curved flap and ornate clasp. Purity: 92.5%.","Silver-and-gold clutch purse with floral lattice, pearl fringe, jeweled accents and curved flap","","true","true"
"35","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-18 at 12.34.57 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/pr-03-elephant-peacock-floral-silver-clutch-purse.png","PR-25","Elephant-and-Peacock Floral Silver Clutch Purse","category-purse","","92.5","370","","","","","","","","","","","","","A low rectangular silver clutch weighing 370 g, with central elephant relief, paired peacocks, floral lattice, curved flap and decorative clasp. Purity: 92.5%.","Low silver clutch with central elephant relief, paired peacocks, floral lattice and curved flap","","true","true"
"36","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-18 at 12.35.48 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/pr-04-scroll-vine-round-handle-silver-clutch-purse.png","PR-26","Scroll-Vine Round-Handle Silver Clutch Purse","category-purse","","92.5","425","","","","","","","","","","","","","A silver clutch purse weighing 425 g, with a full round handle, scrolling vine-and-flower relief, leaf inlays, beaded borders and central clasp. Purity: 92.5%.","Silver clutch purse with full round handle, scrolling vine-and-flower relief and beaded borders","","true","true"
"37","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-18 at 12.37.01 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/pr-05-honeycomb-floral-silver-clutch-purse.png","PR-27","Honeycomb Floral Round-Handle Silver Clutch Purse","category-purse","","92.5","455","","","","","","","","","","","","","A broad silver clutch weighing 455 g, with a full round handle, honeycomb openwork panels, floral scroll relief, fan motif and ring clasp. Purity: 92.5%.","Broad silver clutch with round handle, honeycomb openwork, floral scroll relief and ring clasp","","true","true"
"38","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-18 at 12.39.25 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/pr-06-vertical-floral-panel-silver-clutch-purse.png","PR-28","Vertical Floral-Panel Silver Clutch Purse","category-purse","","92.5","560","","","","","","","","","","","","","A curved silver clutch purse weighing 560 g, with a round handle, vertical floral-and-beaded panels, curved flap and ornate central clasp. Purity: 92.5%.","Curved silver clutch purse with round handle, vertical floral-and-beaded panels and central clasp","","true","true"
"39","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-18 at 12.40.17 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/pr-07-honeycomb-floral-silver-clutch-purse-alt.png","PR-27-ALT","Honeycomb Floral Round-Handle Silver Clutch Purse — Alternate View","category-purse","","92.5","455","","","","","","","","","","","alternateGalleryImage","PR-27","An alternate view of the 455 g broad silver clutch with round handle, honeycomb openwork panels, floral scroll relief and ring clasp. Purity: 92.5%.","Alternate view of broad silver clutch with round handle, honeycomb openwork and floral scroll relief","","true","true"
"40","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-18 at 12.42.08 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/pr-08-scallop-pattern-silver-clutch-purse.png","PR-29","Scallop-Pattern Silver Clutch Purse","category-purse","","92.5","300","","","","","","","","","","","","","A compact silver clutch weighing 300 g, with repeated scallop relief, layered chevron flap borders, rounded corners and floral clasp. Purity: 92.5%.","Compact silver clutch with repeated scallop relief, chevron flap borders and floral clasp","","true","true"
"41","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-18 at 3.11.16 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/pr-09-enamel-birds-pearl-fringe-silver-shoulder-purse.png","PR-30","Enamel Birds Pearl-Fringe Silver Shoulder Purse","category-purse","","92.5","415","","","","","","","","","","","","","An ornate silver shoulder purse weighing 415 g, with enamel birds, gold flowers, pearl border, pink beaded strap and long chain fringe. Purity: 92.5%.","Ornate silver shoulder purse with enamel birds, pearl border, pink beaded strap and gold chain fringe","","true","true"
"42","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-18 at 3.12.47 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/pr-10-jeweled-peacock-tassel-silver-handbag.png","PR-31","Jeweled Peacock-Tassel Silver Handbag","category-purse","","92.5","570","","","","","","","","","","","","","An ornate silver handbag weighing 570 g, with gold borders, jeweled peacocks, red central ornament, pearl drops and green-beaded chain tassels. Purity: 92.5%.","Ornate silver handbag with gold borders, jeweled peacocks, pearl drops and green-beaded tassels","","true","true"
"43","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-18 at 3.18.55 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/kl-01-lakshmi-relief-silver-kalash.png","DDA-UT-KL-109","Lakshmi-Relief Silver Kalash","category-utensils","kalash","92.5","500","5","","","","","","","","","","","","A silver kalash weighing 500 g and standing 5 in high, with a wide polished rim, engraved neck, seated Lakshmi relief, flanking deity figures and lower floral openwork. Purity: 92.5%.","Silver kalash with wide rim, seated Lakshmi relief, flanking deity figures and lower floral openwork","","true","true"
"44","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-18 at 3.20.55 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/tb-01-lakshmi-relief-silver-tumbler-pair.png","DDA-UT-GL-111","Lakshmi-Relief Silver Glass Pair","category-utensils","glass","92.5","400","4","","","","","","","","","","","","A matching pair of silver glasses weighing 400 g and standing 4 in high, with polished rims, floral scroll bands, arched deity panels and lower openwork borders. Purity: 92.5%.","Pair of four-inch silver glasses with polished rims, floral scroll bands, deity panels and openwork borders","","true","true"
"45","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-19 at 12.19.52 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/sg-24-twin-peacock-round-silver-singhasan-7x5.png","SG-24","Twin-Peacock Round Silver Singhasan","category-gifts","","92.5","525","","7","5","","7/5inch","","","","","","","","A round silver singhasan weighing 525 g, with twin peacocks, botanical openwork back, engraved seat, short rails and animal-form feet. Supplied size: 7 × 5 in. Purity: 92.5%.","Round silver singhasan with twin peacocks, botanical openwork back, engraved seat and animal-form feet","","true","true"
"46","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-19 at 12.21.59 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/sg-25-floral-back-silver-singhasan-8x6.png","SG-25","Floral-Back Silver Singhasan","category-gifts","","92.5","650","","8","6","","8/6inch","","","","","","","","A silver singhasan weighing 650 g, with a tall raised-flower back, engraved seat, perforated curved rails, openwork apron and animal-form feet. Supplied size: 8 × 6 in. Purity: 92.5%.","Silver singhasan with tall floral back, engraved seat, perforated curved rails and animal-form feet","","true","true"
"47","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-19 at 12.33.49 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/ds-01-ceremonial-peacock-boat-silver-sculpture.png","DS-01","Ceremonial Peacock-Boat Silver Sculpture","category-gifts","","92.5","40000","22","49","","","","","","","","","","","A 40 kg silver ceremonial boat sculpture measuring 49 in wide and 22 in high, with peacock prow, floral hull panels, canopy, vessels and a detailed multi-figure procession. Purity: 92.5%.","Large silver ceremonial boat sculpture with peacock prow and multi-figure procession scene","","true","true"
