"number","id","title","slug","utensilType","purity","weightGrams","heightInches","widthInches","diameterInches","shortDescription","alt","imagePath"
"11","product-dda-utensil-11","Satin Silver Glass","satin-silver-tumbler","tumbler","99.80","125","4","","","A satin-finish glass in confirmed 99.80% pure silver, with a supplied weight of 125 g and height of 4 in.","Satin Silver Glass centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/11-satin-silver-tumbler.png"
"12","product-dda-utensil-12","Tall Brushed Silver Glass","tall-brushed-silver-tumbler","tumbler","99.80","150","5","","","A tall brushed glass in confirmed 99.80% pure silver, with a supplied weight of 150 g and height of 5 in.","Tall Brushed Silver Glass centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/12-tall-brushed-silver-tumbler.png"
"13","product-dda-utensil-13","Mid-Band Silver Glass","mid-band-silver-tumbler","tumbler","99.80","150","4.5","","","A mid-band glass in confirmed 99.80% pure silver, with a supplied weight of 150 g and height of 4.5 in.","Mid-Band Silver Glass centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/13-mid-band-silver-tumbler.png"
"14","product-dda-utensil-14","Tall Classic Silver Glass","tall-classic-silver-tumbler","tumbler","99.80","200","5.5","","","A tall classic glass in confirmed 99.80% pure silver, with a supplied weight of 200 g and height of 5.5 in.","Tall Classic Silver Glass centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/14-tall-classic-silver-tumbler.png"
"15","product-dda-utensil-15","Mini Linear Silver Bowl","mini-linear-silver-bowl","bowl","99.80","10","","","2","A compact linear bowl in confirmed 99.80% pure silver, with a supplied weight of 10 g and diameter of 2 in.","Mini Linear Silver Bowl centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/15-mini-linear-silver-bowl.png"
"16","product-dda-utensil-16","Double-Line Mini Silver Bowl","double-line-mini-silver-bowl","bowl","99.80","20","","","2.5","A double-line mini bowl in confirmed 99.80% pure silver, with a supplied weight of 20 g and diameter of 2.5 in.","Double-Line Mini Silver Bowl centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/16-double-line-mini-silver-bowl.png"
"17","product-dda-utensil-17","Brushed-Rim Silver Bowl","brushed-rim-silver-bowl","bowl","99.80","30","","","3","A brushed-rim bowl in confirmed 99.80% pure silver, with a supplied weight of 30 g and diameter of 3 in.","Brushed-Rim Silver Bowl centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/17-brushed-rim-silver-bowl.png"
"18","product-dda-utensil-18","Fine-Band Silver Bowl","fine-band-silver-bowl","bowl","99.80","40","","","3.5","A fine-band bowl in confirmed 99.80% pure silver, with a supplied weight of 40 g and diameter of 3.5 in.","Fine-Band Silver Bowl centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/18-fine-band-silver-bowl.png"
"19","product-dda-utensil-19","Classic Silver Bowl","classic-silver-bowl","bowl","99.80","50","","","3.5","A classic rounded bowl in confirmed 99.80% pure silver, with a supplied weight of 50 g and diameter of 3.5 in.","Classic Silver Bowl centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/19-classic-silver-bowl.png"
"20","product-dda-utensil-20","Wide Linear Silver Bowl","wide-linear-silver-bowl","bowl","99.80","50","","","4","A wide linear bowl in confirmed 99.80% pure silver, with a supplied weight of 50 g and diameter of 4 in.","Wide Linear Silver Bowl centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/20-wide-linear-silver-bowl.png"
"21","product-dda-utensil-21","Polished-Rim Silver Bowl","polished-rim-silver-bowl","bowl","99.80","60","","","4.5","A polished-rim bowl in confirmed 99.80% pure silver, with a supplied weight of 60 g and diameter of 4.5 in.","Polished-Rim Silver Bowl centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/21-polished-rim-silver-bowl.png"
"22","product-dda-utensil-22","Wide Silver Bowl","wide-silver-bowl","bowl","99.80","55","","","5","A wide-profile bowl in confirmed 99.80% pure silver, with a supplied weight of 55 g and diameter of 5 in.","Wide Silver Bowl centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/22-wide-silver-bowl.png"
"23","product-dda-utensil-23","Deep Silver Bowl","deep-silver-bowl","bowl","99.80","70","","","5","A deep-profile bowl in confirmed 99.80% pure silver, with a supplied weight of 70 g and diameter of 5 in.","Deep Silver Bowl centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/23-deep-silver-bowl.png"
"24","product-dda-utensil-24","Twin-Line Silver Bowl","twin-line-silver-bowl","bowl","99.80","100","","","5","A twin-line bowl in confirmed 99.80% pure silver, with a supplied weight of 100 g and diameter of 5 in.","Twin-Line Silver Bowl centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/24-twin-line-silver-bowl.png"
"25","product-dda-utensil-25","Classic Serving Silver Bowl","classic-serving-silver-bowl","bowl","99.80","125","","","6","A classic serving bowl in confirmed 99.80% pure silver, with a supplied weight of 125 g and diameter of 6 in.","Classic Serving Silver Bowl centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/25-classic-serving-silver-bowl.png"
"26","product-dda-utensil-26","Wide Serving Silver Bowl","wide-serving-silver-bowl","bowl","99.80","150","","","7","A wide serving bowl in confirmed 99.80% pure silver, with a supplied weight of 150 g and diameter of 7 in.","Wide Serving Silver Bowl centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/26-wide-serving-silver-bowl.png"
"27","product-dda-utensil-27","Large Serving Silver Bowl","large-serving-silver-bowl","bowl","99.80","200","","","8","A large serving bowl in confirmed 99.80% pure silver, with a supplied weight of 200 g and diameter of 8 in.","Large Serving Silver Bowl centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/27-large-serving-silver-bowl.png"
"28","product-dda-utensil-28","Straight-Sided Mini Silver Bowl","straight-sided-mini-silver-bowl","bowl","99.80","30","","","3","A straight-sided mini bowl in confirmed 99.80% pure silver, with a supplied weight of 30 g and diameter of 3 in.","Straight-Sided Mini Silver Bowl centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/28-straight-sided-mini-silver-bowl.png"
"29","product-dda-utensil-29","Triple-Line Mini Silver Bowl","triple-line-mini-silver-bowl","bowl","99.80","40","","","3","A triple-line mini bowl in confirmed 99.80% pure silver, with a supplied weight of 40 g and diameter of 3 in.","Triple-Line Mini Silver Bowl centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/29-triple-line-mini-silver-bowl.png"
"30","product-dda-utensil-30","Straight-Sided Silver Bowl","straight-sided-silver-bowl","bowl","99.80","50","","","3.3","A straight-sided bowl in confirmed 99.80% pure silver, with a supplied weight of 50 g and diameter of 3.3 in.","Straight-Sided Silver Bowl centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/30-straight-sided-silver-bowl.png"
"31","product-dda-utensil-31","Deep Straight-Sided Silver Bowl","deep-straight-sided-silver-bowl","bowl","99.80","60","","","3.5","A deep straight-sided bowl in confirmed 99.80% pure silver, with a supplied weight of 60 g and diameter of 3.5 in.","Deep Straight-Sided Silver Bowl centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/31-deep-straight-sided-silver-bowl.png"
