"source_filename","output_filename","item_title","weight_grams","height_inches","measurement_source","ocr_confidence","ready_for_upload","review_reasons"
"WhatsApp Image 2026-07-31 at 4.39.29 PM.jpeg","idol-78-painted-lakshmi-ganesha-silver-idol-pair-green-yellow-130g.png","Painted Lakshmi Ganesha Silver Idol Pair in Green and Yellow","130","4.5","catalog","95","true",""
"WhatsApp Image 2026-07-31 at 5.26.06 PM.jpeg","idol-79-large-lakshmi-ganesha-silver-idol-pair-tiered-lotus-bases.png","Large Lakshmi Ganesha Silver Idol Pair on Tiered Lotus Bases","500","7","catalog","91","true",""
"WhatsApp Image 2026-07-31 at 5.28.43 PM.jpeg","idol-80-painted-lakshmi-ganesha-silver-idol-pair-mint-green.png","Painted Lakshmi Ganesha Silver Idol Pair in Mint Green","105","4","catalog","95","true",""
"WhatsApp Image 2026-07-31 at 5.30.02 PM.jpeg","idol-81-painted-lakshmi-ganesha-silver-idol-pair-crimson-red.png","Painted Lakshmi Ganesha Silver Idol Pair in Crimson Red","100","4","catalog","91","true",""
"WhatsApp Image 2026-07-31 at 5.31.38 PM.jpeg","idol-82-lakshmi-ganesha-silver-idol-pair-ornate-thrones.png","Lakshmi Ganesha Silver Idol Pair on Ornate Thrones","200","5","catalog","91","true",""
"WhatsApp Image 2026-07-31 at 5.36.19 PM.jpeg","idol-83-lakshmi-ganesha-silver-idol-pair-tall-lotus-pedestals.png","Lakshmi Ganesha Silver Idol Pair on Tall Lotus Pedestals","125","5","catalog","92","true",""
"WhatsApp Image 2026-07-31 at 5.38.33 PM.jpeg","idol-84-lakshmi-ganesha-silver-idol-pair-owl-mouse-105g.png","Lakshmi Ganesha Silver Idol Pair with Owl and Mouse","105","4","catalog","92","true",""
"WhatsApp Image 2026-07-31 at 5.40.44 PM.jpeg","idol-85-lakshmi-ganesha-silver-idol-pair-modak.png","Lakshmi Ganesha Silver Idol Pair with Modak","110","4","catalog","88","true",""
"WhatsApp Image 2026-07-31 at 5.42.31 PM.jpeg","idol-86-lakshmi-ganesha-silver-idol-pair-red-green-garlands.png","Lakshmi Ganesha Silver Idol Pair with Red and Green Garlands","130","5","catalog","91","true",""
"WhatsApp Image 2026-07-31 at 5.43.54 PM.jpeg","idol-87-painted-lakshmi-ganesha-silver-idol-pair-owl-mouse.png","Painted Lakshmi Ganesha Silver Idol Pair with Owl and Mouse","100","3.5","catalog","91","true",""
"WhatsApp Image 2026-07-31 at 5.45.10 PM.jpeg","idol-88-painted-lakshmi-ganesha-silver-idol-pair-round-pedestals.png","Painted Lakshmi Ganesha Silver Idol Pair on Round Pedestals","100","3.5","catalog","91","true",""
"WhatsApp Image 2026-07-31 at 5.48.09 PM.jpeg","idol-89-durga-silver-idol-tiger-decorative-arch.png","Durga Silver Idol on Tiger beneath Decorative Arch","265","7.5","catalog","95","true",""
"WhatsApp Image 2026-07-31 at 5.49.57 PM.jpeg","idol-90-lakshmi-ganesha-silver-idol-pair-riding-elephants.png","Lakshmi Ganesha Silver Idol Pair Riding Elephants","120","4.5","catalog","92","true",""
"WhatsApp Image 2026-07-31 at 5.52.07 PM.jpeg","idol-91-lakshmi-ganesha-silver-idol-pair-circular-halos.png","Lakshmi Ganesha Silver Idol Pair with Circular Halos","75","3","catalog","91","true",""
"WhatsApp Image 2026-07-31 at 5.53.23 PM.jpeg","idol-92-ganesha-silver-idol-cobra-hood.png","Ganesha Silver Idol with Cobra Hood","50","4","catalog","79","true",""
"WhatsApp Image 2026-07-31 at 5.54.54 PM.jpeg","idol-93-lord-rama-silver-idol-ram-mandir.png","Lord Rama Silver Idol with Ram Mandir","315","6","catalog","95","true",""
"WhatsApp Image 2026-07-31 at 5.56.01 PM.jpeg","idol-94-shiva-family-silver-idol-arch-shivling.png","Shiva Family Silver Idol with Arch and Shivling","400","8.5","catalog","95","true",""
"WhatsApp Image 2026-07-31 at 5.59.29 PM.jpeg","idol-95-painted-durga-silver-idol-lion-160g.png","Painted Durga Silver Idol on Lion","160","6","catalog","91","true",""
