"sourceSequence","sourceFilename","categoryId","number","id","title","slug","purity","weightGrams","heightInches","reference","readyForProductPublish","publishBlockers","shortDescription","alt","imagePath"
"11","WhatsApp Image 2026-08-02 at 4.23.19 PM.jpeg","category-idols","153","product-dda-idol-153-lakshmi-ganesha-silver-idol-pair-lotus-seats","Lakshmi Ganesha Silver Idol Pair on Lotus Seats","lakshmi-ganesha-silver-idol-pair-lotus-seats","99.80","40","2.5","HM-LG-30","true","","A hollow 99.80% pure silver Lakshmi and Ganesha idol pair seated on matching compact lotus-form bases. Weight: 40 g. Height: 2.5 in.","Lakshmi and Ganesha silver idol pair seated on matching lotus bases on the DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-153-lakshmi-ganesha-silver-idol-pair-lotus-seats.png"
"12","WhatsApp Image 2026-08-04 at 3.36.36 PM.jpeg","category-idols","154","product-dda-idol-154-painted-durga-silver-idol-lion-arched-halo","Painted Durga Silver Idol on Lion with Arched Halo","painted-durga-silver-idol-lion-arched-halo","99.80","80","5.5","HM-DG-6","true","","A hollow 99.80% pure silver Durga idol riding a lion beneath a crowned arch, with vivid pink and gold-toned paintwork. Weight: 80 g. Height: 5.5 in.","Painted Durga silver idol riding a lion beneath a crowned arch on the DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-154-painted-durga-silver-idol-lion-arched-halo.png"
"13","WhatsApp Image 2026-08-04 at 3.38.04 PM.jpeg","category-idols","155","product-dda-idol-155-durga-silver-idol-lion-arched-halo","Durga Silver Idol on Lion with Arched Halo","durga-silver-idol-lion-arched-halo","99.80","80","5.5","HM-DG-7","true","","A hollow 99.80% pure silver Durga idol riding a lion beneath a crowned arch, with a bright silver finish and restrained paint. Weight: 80 g. Height: 5.5 in.","Durga silver idol riding a lion beneath a crowned arch on the warm ivory DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-155-durga-silver-idol-lion-arched-halo.png"
"14","WhatsApp Image 2026-08-04 at 3.39.13 PM.jpeg","category-idols","156","product-dda-idol-156-painted-makhan-chor-bal-krishna-oval-base","Painted Makhan Chor Bal Krishna Silver Idol on Oval Base","painted-makhan-chor-bal-krishna-oval-base","99.80","35","3","HM-BK-12","true","","A hollow 99.80% pure silver Bal Krishna idol seated beside an overturned butter pot on a patterned oval base with painted details. Weight: 35 g. Height: 3 in.","Painted Bal Krishna silver idol beside an overturned butter pot on an oval base on the DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-156-painted-makhan-chor-bal-krishna-oval-base.png"
"15","WhatsApp Image 2026-08-04 at 3.40.29 PM.jpeg","category-idols","157","product-dda-idol-157-makhan-chor-bal-krishna-oval-base","Makhan Chor Bal Krishna Silver Idol on Oval Base","makhan-chor-bal-krishna-oval-base","99.80","35","3","HM-BK-13","true","","A hollow 99.80% pure silver Bal Krishna idol seated beside an overturned butter pot on a patterned oval base in a bright silver finish. Weight: 35 g. Height: 3 in.","Bal Krishna silver idol beside an overturned butter pot on a patterned oval base on the DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-157-makhan-chor-bal-krishna-oval-base.png"
"16","WhatsApp Image 2026-08-04 at 3.42.02 PM.jpeg","category-idols","158","product-dda-idol-158-painted-seated-bal-krishna-butter-pot","Painted Seated Bal Krishna Silver Idol with Butter Pot","painted-seated-bal-krishna-butter-pot","99.80","20","3","HM-BK-14","true","","A hollow 99.80% pure silver seated Bal Krishna idol with a butter pot, peacock feather, red drape, and painted jewellery. Weight: 20 g. Height: 3 in.","Painted seated Bal Krishna silver idol with butter pot and peacock feather on the DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-158-painted-seated-bal-krishna-butter-pot.png"
"17","WhatsApp Image 2026-08-04 at 3.42.41 PM.jpeg","category-idols","159","product-dda-idol-159-seated-bal-krishna-butter-pot","Seated Bal Krishna Silver Idol with Butter Pot","seated-bal-krishna-butter-pot","99.80","20","3","HM-BK-15","true","","A hollow 99.80% pure silver seated Bal Krishna idol with a butter pot, peacock feather, and restrained facial paint. Weight: 20 g. Height: 3 in.","Seated Bal Krishna silver idol with butter pot and peacock feather on the DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-159-seated-bal-krishna-butter-pot.png"
"18","WhatsApp Image 2026-08-04 at 3.45.54 PM.jpeg","category-idols","160","product-dda-idol-160-painted-crawling-bal-krishna-laddoo-large","Painted Crawling Bal Krishna Silver Idol with Laddoo","painted-crawling-bal-krishna-laddoo-large","99.80","40","4","HM-BK-16","true","","A hollow 99.80% pure silver crawling Bal Krishna idol holding a laddoo, with painted facial features and gold-toned jewellery. Weight: 40 g. Height: 4 in.","Painted crawling Bal Krishna silver idol holding a laddoo on the warm ivory DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-160-painted-crawling-bal-krishna-laddoo-large.png"
"19","WhatsApp Image 2026-08-04 at 3.46.15 PM.jpeg","category-idols","161","product-dda-idol-161-satin-crawling-bal-krishna-laddoo-large","Satin Crawling Bal Krishna Silver Idol with Laddoo","satin-crawling-bal-krishna-laddoo-large","99.80","40","4","HM-BK-17","true","","A hollow 99.80% pure silver crawling Bal Krishna idol holding a laddoo, with a softly textured satin finish and painted face. Weight: 40 g. Height: 4 in.","Satin-finish crawling Bal Krishna silver idol holding a laddoo on the DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-161-satin-crawling-bal-krishna-laddoo-large.png"
"20","WhatsApp Image 2026-08-04 at 3.49.43 PM.jpeg","category-idols","162","product-dda-idol-162-dark-accent-crawling-bal-krishna-laddoo","Dark-Accent Crawling Bal Krishna Silver Idol with Laddoo","dark-accent-crawling-bal-krishna-laddoo","99.80","50","3","HM-BK-18","true","","A hollow 99.80% pure silver crawling Bal Krishna idol holding a laddoo, with dark polished accents and a detailed topknot. Weight: 50 g. Height: 3 in.","Dark-accent crawling Bal Krishna silver idol holding a laddoo on the warm ivory DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-162-dark-accent-crawling-bal-krishna-laddoo.png"
"21","WhatsApp Image 2026-08-04 at 3.52.37 PM.jpeg","category-idols","163","product-dda-idol-163-miniature-gold-accent-crawling-bal-krishna","Miniature Gold-Accent Crawling Bal Krishna Silver Idol","miniature-gold-accent-crawling-bal-krishna","99.80","15","2.5","HM-BK-19","true","","A compact hollow 99.80% pure silver crawling Bal Krishna idol with a laddoo, beaded jewellery, and gold-toned accents. Weight: 15 g. Height: 2.5 in.","Miniature crawling Bal Krishna silver idol with laddoo and gold accents on the DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-163-miniature-gold-accent-crawling-bal-krishna.png"
"22","WhatsApp Image 2026-08-04 at 3.54.36 PM.jpeg","category-idols","164","product-dda-idol-164-kneeling-bal-krishna-laddoo","Kneeling Bal Krishna Silver Idol with Laddoo","kneeling-bal-krishna-laddoo","99.80","30","3","HM-BK-20","true","","A hollow 99.80% pure silver kneeling Bal Krishna idol holding a laddoo, with layered necklaces and restrained facial paint. Weight: 30 g. Height: 3 in.","Kneeling Bal Krishna silver idol holding a laddoo with layered necklaces on the DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-164-kneeling-bal-krishna-laddoo.png"
"23","WhatsApp Image 2026-08-04 at 3.55.08 PM.jpeg","category-idols","165","product-dda-idol-165-painted-kneeling-bal-krishna-yellow-dhoti","Painted Kneeling Bal Krishna Silver Idol in Yellow Dhoti","painted-kneeling-bal-krishna-yellow-dhoti","99.80","30","3","HM-BK-21","true","","A hollow 99.80% pure silver kneeling Bal Krishna idol holding a laddoo, with a yellow dhoti, peacock feather, and gold-toned jewellery. Weight: 30 g. Height: 3 in.","Painted kneeling Bal Krishna silver idol in a yellow dhoti holding a laddoo on the DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-165-painted-kneeling-bal-krishna-yellow-dhoti.png"
"24","WhatsApp Image 2026-08-04 at 3.58.49 PM.jpeg","category-idols","166","product-dda-idol-166-gold-accent-rama-sita-silver-idol-pair","Gold-Accent Rama Sita Silver Idol Pair","gold-accent-rama-sita-silver-idol-pair","99.80","80","4","HM-RM-14","true","","A hollow 99.80% pure silver seated Rama and Sita idol pair with a bow, raised blessing hands, and gold-toned details. Weight: 80 g. Height: 4 in.","Seated Rama and Sita silver idol pair with bow and gold-toned details on the DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-166-gold-accent-rama-sita-silver-idol-pair.png"
"25","WhatsApp Image 2026-08-04 at 4.01.16 PM.jpeg","category-idols","167","product-dda-idol-167-gold-accent-rama-silver-idol-tall-arch","Gold-Accent Rama Silver Idol Beneath Tall Arch","gold-accent-rama-silver-idol-tall-arch","99.80","90","6","HM-RM-15","true","","A hollow 99.80% pure silver standing Rama idol with a bow and arrow beneath a tall carved arch with gold-toned highlights. Weight: 90 g. Height: 6 in.","Gold-accent standing Rama silver idol with bow beneath a tall carved arch on the DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-167-gold-accent-rama-silver-idol-tall-arch.png"
"26","WhatsApp Image 2026-08-04 at 4.02.58 PM.jpeg","category-idols","168","product-dda-idol-168-painted-rama-silver-idol-tall-arch","Painted Rama Silver Idol Beneath Tall Arch","painted-rama-silver-idol-tall-arch","99.80","80","6","HM-RM-16","true","","A hollow 99.80% pure silver standing Rama idol with a bow beneath a tall carved arch, finished with vivid red and gold paintwork. Weight: 80 g. Height: 6 in.","Painted standing Rama silver idol with bow beneath a tall carved arch on the DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-168-painted-rama-silver-idol-tall-arch.png"
"27","WhatsApp Image 2026-08-04 at 4.03.22 PM.jpeg","category-idols","169","product-dda-idol-169-rama-silver-idol-tall-arch","Rama Silver Idol Beneath Tall Arch","rama-silver-idol-tall-arch","99.80","80","6","HM-RM-17","true","","A hollow 99.80% pure silver standing Rama idol with a bow and arrow beneath a tall carved arch in a bright silver finish. Weight: 80 g. Height: 6 in.","Standing Rama silver idol with bow and arrow beneath a tall carved arch on the DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-169-rama-silver-idol-tall-arch.png"
"28","WhatsApp Image 2026-08-04 at 4.04.56 PM.jpeg","category-idols","170","product-dda-idol-170-mahavir-silver-idol-arched-shrine","Mahavir Silver Idol Seated in Arched Shrine","mahavir-silver-idol-arched-shrine","99.80","40","3.5","HM-MH-1","true","","A hollow 99.80% pure silver seated Mahavir idol in a meditation posture within a stepped arched shrine. Weight: 40 g. Height: 3.5 in.","Seated Mahavir silver idol in meditation within a stepped arched shrine on the DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-170-mahavir-silver-idol-arched-shrine.png"
"29","WhatsApp Image 2026-08-04 at 4.07.10 PM.jpeg","category-idols","171","product-dda-idol-171-seated-buddha-silver-idol-lotus-pedestal","Seated Buddha Silver Idol on Lotus Pedestal","seated-buddha-silver-idol-lotus-pedestal","99.80","60","3.5","HM-BD-1","true","","A hollow 99.80% pure silver seated Buddha idol in a bhumisparsha pose on a layered lotus-form pedestal. Weight: 60 g. Height: 3.5 in.","Seated Buddha silver idol in earth-touching pose on a lotus pedestal on the DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-171-seated-buddha-silver-idol-lotus-pedestal.png"
"30","WhatsApp Image 2026-08-04 at 4.12.53 PM.jpeg","category-gifts","3","product-dda-gift-03-silver-jain-temple-miniature-red-flag","Silver Jain Temple Miniature with Red Flag","silver-jain-temple-miniature-red-flag","99.80","100","4.5","DDA-GF-JT-03","true","","A 99.80% pure silver Jain temple miniature with a stepped approach, clustered shrines, tall central spire, and red flag. Weight: 100 g. Height: 4.5 in.","Silver Jain temple miniature with stepped shrines central spire and red flag on the DDA Silver background","public/images/silver-gifts/new-folder-2-2026-08-05/gift-03-silver-jain-temple-miniature-red-flag.png"
"31","WhatsApp Image 2026-08-04 at 4.14.01 PM.jpeg","category-idols","172","product-dda-idol-172-gold-accent-shivling-silver-idol-tripundra","Gold-Accent Shivling Silver Idol with Tripundra","gold-accent-shivling-silver-idol-tripundra","99.80","20","2.5","HM-SH-9","true","","A hollow 99.80% pure silver Shivling idol with painted tripundra marks, an elongated yoni base, and gold-toned engraved bands. Weight: 20 g. Height: 2.5 in.","Silver Shivling idol with tripundra marks and gold-accented yoni base on the DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-172-gold-accent-shivling-silver-idol-tripundra.png"
"33","WhatsApp Image 2026-08-04 at 4.32.44 PM.jpeg","category-utensils","33","product-dda-utensil-33-ornate-floral-mini-silver-spoon","Ornate Floral Mini Silver Spoon","ornate-floral-mini-silver-spoon","99.80","5","3","DDA-UT-SP-33","true","","A miniature floral-handled spoon in 99.80% pure silver, with a supplied weight of 5 g and height of 3 in.","Miniature silver spoon with ornate floral handle on the warm ivory DDA Silver background","public/images/silver-utensils/spoon-gallery-2026-08-05/33-ornate-floral-mini-silver-spoon.png"
"34","WhatsApp Image 2026-08-04 at 4.34.02 PM.jpeg","category-utensils","34","product-dda-utensil-34-beaded-scroll-mini-silver-spoon","Beaded Scroll Mini Silver Spoon","beaded-scroll-mini-silver-spoon","99.80","10","3.5","DDA-UT-SP-34","true","","A compact scroll-handled spoon in 99.80% pure silver, with a supplied weight of 10 g and height of 3.5 in.","Compact silver spoon with lined handle and scroll tip on the warm ivory DDA Silver background","public/images/silver-utensils/spoon-gallery-2026-08-05/34-beaded-scroll-mini-silver-spoon.png"
"35","WhatsApp Image 2026-08-04 at 4.35.11 PM.jpeg","category-utensils","35","product-dda-utensil-35-linear-scroll-silver-spoon","Linear Scroll Silver Spoon","linear-scroll-silver-spoon","99.80","15","4","DDA-UT-SP-35","true","","A polished linear-pattern spoon in 99.80% pure silver, with a supplied weight of 15 g and height of 4 in.","Polished silver spoon with linear engraved handle and scroll tip on the DDA Silver background","public/images/silver-utensils/spoon-gallery-2026-08-05/35-linear-scroll-silver-spoon.png"
"36","WhatsApp Image 2026-08-04 at 4.36.31 PM.jpeg","category-utensils","36","product-dda-utensil-36-classic-scroll-silver-spoon","Classic Scroll Silver Spoon","classic-scroll-silver-spoon","99.80","20","5","DDA-UT-SP-36","true","","A classic polished spoon with a lined scroll handle in 99.80% pure silver, supplied at 20 g and 5 in high. Weight: 20 g. Height: 5 in.","Classic polished silver spoon with lined scroll handle on the warm ivory DDA Silver background","public/images/silver-utensils/spoon-gallery-2026-08-05/36-classic-scroll-silver-spoon.png"
"37","WhatsApp Image 2026-08-04 at 4.37.05 PM.jpeg","category-utensils","37","product-dda-utensil-37-floral-engraved-silver-spoon","Floral-Engraved Silver Spoon","floral-engraved-silver-spoon","99.80","25","5.5","DDA-UT-SP-37","true","","A polished floral-engraved spoon in 99.80% pure silver, with a supplied weight of 25 g and height of 5.5 in.","Polished silver spoon with floral and sweeping engraved handle on the DDA Silver background","public/images/silver-utensils/spoon-gallery-2026-08-05/37-floral-engraved-silver-spoon.png"
"38","WhatsApp Image 2026-08-04 at 4.37.58 PM.jpeg","category-utensils","38","product-dda-utensil-38-smooth-rounded-handle-silver-spoon","Smooth Rounded-Handle Silver Spoon","smooth-rounded-handle-silver-spoon","99.80","30","5.5","DDA-UT-SP-38","true","","A polished spoon with a smooth rounded handle in 99.80% pure silver, supplied at 30 g and 5.5 in high. Weight: 30 g. Height: 5.5 in.","Polished silver spoon with smooth rounded handle on the warm ivory DDA Silver background","public/images/silver-utensils/spoon-gallery-2026-08-05/38-smooth-rounded-handle-silver-spoon.png"
"39","WhatsApp Image 2026-08-04 at 4.38.43 PM.jpeg","category-utensils","39","product-dda-utensil-39-broad-tapered-handle-silver-spoon","Broad Tapered-Handle Silver Spoon","broad-tapered-handle-silver-spoon","99.80","40","6","DDA-UT-SP-39","true","","A polished spoon with a broad tapered handle in 99.80% pure silver, with a supplied weight of 40 g and height of 6 in.","Polished silver spoon with broad tapered handle on the warm ivory DDA Silver background","public/images/silver-utensils/spoon-gallery-2026-08-05/39-broad-tapered-handle-silver-spoon.png"
"40","WhatsApp Image 2026-08-04 at 4.39.49 PM.jpeg","category-utensils","40","product-dda-utensil-40-classic-rounded-handle-silver-spoon","Classic Rounded-Handle Silver Spoon","classic-rounded-handle-silver-spoon","99.80","50","6","DDA-UT-SP-40","true","","A classic polished spoon with a rounded handle in 99.80% pure silver, supplied at 50 g and 6 in high. Weight: 50 g. Height: 6 in.","Classic polished silver spoon with rounded handle on the warm ivory DDA Silver background","public/images/silver-utensils/spoon-gallery-2026-08-05/40-classic-rounded-handle-silver-spoon.png"
"41","WhatsApp Image 2026-08-04 at 4.40.34 PM.jpeg","category-utensils","41","product-dda-utensil-41-wide-serving-silver-spoon","Wide Serving Silver Spoon","wide-serving-silver-spoon","99.80","60","6.5","DDA-UT-SP-41","true","","A wide polished serving spoon with a smooth rounded handle in 99.80% pure silver, supplied at 60 g and 6.5 in high. Weight: 60 g. Height: 6.5 in.","Wide polished serving spoon with smooth rounded handle on the DDA Silver background","public/images/silver-utensils/spoon-gallery-2026-08-05/41-wide-serving-silver-spoon.png"
