"number","sourcePath","sourceSha256","imagePath","reference","title","categoryId","utensilType","material","finish","sourcePurityMarking","purity","purityBasis","coinShape","weightGrams","sourceWeightToleranceGrams","diameterInches","suppliedSizeLabel","recordType","createProduct","parentReference","shortDescription","alt","publishBlockers","readyForSanityAssetUpload","readyForProductPublish"
"13","C:\Users\kk\Desktop\Files\IMG_2385.jpeg","d310ce363ce9c339ae09387435551ba5130a5fa5d344a9046240943740956b28","public/images/gallery-ingestion/desktop-files-2026-08-22/013-openwork-scroll-silver-purse-450g.png","PR-2203","DDA 450 Gram Openwork Scroll Silver Purse","category-purse","","silver","","","92.5","owner-confirmed-2026-08-22","","450","","","","","","","A 450 gram purse in confirmed 92.5% silver with openwork floral-scroll filigree and a round handle.","DDA 450 Gram Openwork Scroll Silver Purse showing openwork floral-scroll filigree and a round handle","","true","true"
"14","C:\Users\kk\Desktop\Files\IMG_2386.jpeg","9b07cf6adf3115b8b6a0066be9363b0346d727d78735d7596905f527db51437a","public/images/gallery-ingestion/desktop-files-2026-08-22/014-peacock-motif-silver-purse-400g.png","PR-2204","DDA 400 Gram Peacock Motif Silver Purse","category-purse","","silver","","","92.5","owner-confirmed-2026-08-22","","400","","","","","","","A 400 gram purse in confirmed 92.5% silver with a peacock motif, geometric field, and circular handle.","DDA 400 Gram Peacock Motif Silver Purse showing a peacock motif, geometric field, and circular handle","","true","true"
"15","C:\Users\kk\Desktop\Files\IMG_2387.jpeg","03278f8219ebc40d0ded079ac2c5bf0888ba205ed089c28370bbaae45f7dbbfd","public/images/gallery-ingestion/desktop-files-2026-08-22/015-radha-krishna-two-tone-oval-coin-25g.png","DDA-COIN-20260822-015","DDA 25 Gram Radha Krishna Two-Tone Oval Silver Coin","category-coin","","silver","gold-polished","999","99.80","owner-confirmed-2026-08-22","oval","25","","","","","","","A 25 gram silver piece featuring Radha and Krishna beside a cow, peacock, and tree. Owner-confirmed purity is 99.80%. The gold-polished details are a surface finish on the silver coin.","DDA 25 Gram Radha Krishna Two-Tone Oval Silver Coin showing Radha and Krishna beside a cow, peacock, and tree","","true","true"
"16","C:\Users\kk\Desktop\Files\IMG_2388.jpeg","7568c0dcf77f3e506275f0664d607a64d200e4de35576ea20435c73bd8c98145","public/images/gallery-ingestion/desktop-files-2026-08-22/016-radha-krishna-two-tone-oval-coin-50g.png","DDA-COIN-20260822-016","DDA 50 Gram Radha Krishna Two-Tone Oval Silver Coin","category-coin","","silver","gold-polished","999","99.80","owner-confirmed-2026-08-22","oval","50","","","","","","","A 50 gram silver piece featuring Radha and Krishna beside a cow, peacock, and tree. Owner-confirmed purity is 99.80%. The gold-polished details are a surface finish on the silver coin.","DDA 50 Gram Radha Krishna Two-Tone Oval Silver Coin showing Radha and Krishna beside a cow, peacock, and tree","","true","true"
"17","C:\Users\kk\Desktop\Files\IMG_2389.jpeg","617320b390a5392e629091fa0682e8353b382e74afd575fd3adeb200ba15d2b0","public/images/gallery-ingestion/desktop-files-2026-08-22/017-ram-darbar-two-tone-oval-coin-50g.png","DDA-COIN-20260822-017","DDA 50 Gram Ram Darbar Two-Tone Oval Silver Coin","category-coin","","silver","gold-polished","999","99.80","owner-confirmed-2026-08-22","oval","50","","","","","","","A 50 gram silver piece featuring a gold-tone Ram Darbar scene with an ornamental reverse. Owner-confirmed purity is 99.80%. The gold-polished details are a surface finish on the silver coin.","DDA 50 Gram Ram Darbar Two-Tone Oval Silver Coin showing a gold-tone Ram Darbar scene with an ornamental reverse","","true","true"
"18","C:\Users\kk\Desktop\Files\IMG_2390.jpeg","ccaf3a2148c92abe8328cf3b378a2f1219dc913060fef5ff4b8f90debad109fb","public/images/gallery-ingestion/desktop-files-2026-08-22/018-bal-krishna-two-tone-oval-coin-50g.png","DDA-COIN-20260822-018","DDA 50 Gram Bal Krishna Two-Tone Oval Silver Coin","category-coin","","silver","gold-polished","999","99.80","owner-confirmed-2026-08-22","oval","50","","","","","","","A 50 gram silver piece featuring crawling Bal Krishna with a bowl and flute. Owner-confirmed purity is 99.80%. The gold-polished details are a surface finish on the silver coin.","DDA 50 Gram Bal Krishna Two-Tone Oval Silver Coin showing crawling Bal Krishna with a bowl and flute","","true","true"
"19","C:\Users\kk\Desktop\Files\IMG_2391.jpeg","4bc1bf8aec2e626f3440532cd668b29053674a8c37bde4baafd04c53a4392aab","public/images/gallery-ingestion/desktop-files-2026-08-22/019-queen-elizabeth-tree-of-life-square-coin-50g.png","DDA-COIN-20260822-019","DDA 50 Gram Queen Elizabeth Tree of Life Square Silver Coin","category-coin","","silver","","999","99.80","owner-confirmed-2026-08-22","square","50","","","","","","","A 50 gram silver piece featuring a Queen Elizabeth II portrait and Tree of Life reverse. Owner-confirmed purity is 99.80%.","DDA 50 Gram Queen Elizabeth Tree of Life Square Silver Coin showing a Queen Elizabeth II portrait and Tree of Life reverse","","true","true"
"20","C:\Users\kk\Desktop\Files\IMG_2392.jpeg","898cea35f849d33bb3015408a2c38d6cb256d102057b7b9f263a34fbabbca030","public/images/gallery-ingestion/desktop-files-2026-08-22/020-queen-elizabeth-tree-of-life-square-coin-100g.png","DDA-COIN-20260822-020","DDA 100 Gram Queen Elizabeth Tree of Life Square Silver Coin","category-coin","","silver","","999","99.80","owner-confirmed-2026-08-22","square","100","","","","","","","A 100 gram silver piece featuring a Queen Elizabeth II portrait and Tree of Life reverse. Owner-confirmed purity is 99.80%.","DDA 100 Gram Queen Elizabeth Tree of Life Square Silver Coin showing a Queen Elizabeth II portrait and Tree of Life reverse","","true","true"
"21","C:\Users\kk\Desktop\Files\IMG_2393.jpeg","2eb0b077102c10c56f1406e8c2fc8bcafe56239deb506cb296695998ba584e7e","public/images/gallery-ingestion/desktop-files-2026-08-22/021-queen-elizabeth-tree-of-life-square-coin-10g.png","DDA-COIN-20260822-021","DDA 10 Gram Queen Elizabeth Tree of Life Square Silver Coin","category-coin","","silver","","999","99.80","owner-confirmed-2026-08-22","square","10","","","","","","","A 10 gram silver piece featuring a Queen Elizabeth II portrait and Tree of Life reverse. Owner-confirmed purity is 99.80%.","DDA 10 Gram Queen Elizabeth Tree of Life Square Silver Coin showing a Queen Elizabeth II portrait and Tree of Life reverse","","true","true"
"22","C:\Users\kk\Desktop\Files\IMG_2394.jpeg","87fa3a49ba4113aa98bbb8dac9e21f28b9f220ddffe482cf6b7a09a71dc08c41","public/images/gallery-ingestion/desktop-files-2026-08-22/022-queen-elizabeth-tree-of-life-square-coin-20g.png","DDA-COIN-20260822-022","DDA 20 Gram Queen Elizabeth Tree of Life Square Silver Coin","category-coin","","silver","","999","99.80","owner-confirmed-2026-08-22","square","20","","","","","","","A 20 gram silver piece featuring a Queen Elizabeth II portrait and Tree of Life reverse. Owner-confirmed purity is 99.80%.","DDA 20 Gram Queen Elizabeth Tree of Life Square Silver Coin showing a Queen Elizabeth II portrait and Tree of Life reverse","","true","true"
"23","C:\Users\kk\Desktop\Files\IMG_2395.jpeg","36c7e2cea9913e8b7f91bdca8f714a0dbaee61dd588d9862b947fbdb5a18dc18","public/images/gallery-ingestion/desktop-files-2026-08-22/023-bal-krishna-two-tone-oval-coin-20g.png","DDA-COIN-20260822-023","DDA 20 Gram Bal Krishna Two-Tone Oval Silver Coin","category-coin","","silver","gold-polished","999","99.80","owner-confirmed-2026-08-22","oval","20","","","","","","","A 20 gram silver piece featuring crawling Bal Krishna with a bowl and flute. Owner-confirmed purity is 99.80%. The gold-polished details are a surface finish on the silver coin.","DDA 20 Gram Bal Krishna Two-Tone Oval Silver Coin showing crawling Bal Krishna with a bowl and flute","","true","true"
"24","C:\Users\kk\Desktop\Files\IMG_2396.jpeg","1bb059634e08126784e4b5ab85503220f4258d36e8200b3339d80db8d2d7439b","public/images/gallery-ingestion/desktop-files-2026-08-22/024-bal-krishna-two-tone-oval-coin-10g.png","DDA-COIN-20260822-024","DDA 10 Gram Bal Krishna Two-Tone Oval Silver Coin","category-coin","","silver","gold-polished","999","99.80","owner-confirmed-2026-08-22","oval","10","","","","","","","A 10 gram silver piece featuring crawling Bal Krishna with a bowl and flute. Owner-confirmed purity is 99.80%. The gold-polished details are a surface finish on the silver coin.","DDA 10 Gram Bal Krishna Two-Tone Oval Silver Coin showing crawling Bal Krishna with a bowl and flute","","true","true"
"25","C:\Users\kk\Desktop\Files\IMG_2397.jpeg","6571fe2ee2e3c4e68e8c34e85748938c5eae08028051c588564baef18c7b47a6","public/images/gallery-ingestion/desktop-files-2026-08-22/025-tree-of-life-scalloped-silver-coin-25g.png","DDA-COIN-20260822-025","DDA 25 Gram Scalloped Tree of Life Silver Coin","category-coin","","silver","","999","99.80","owner-confirmed-2026-08-22","scalloped","25","","","","","","","A 25 gram silver piece featuring a flower-shaped scalloped edge and Tree of Life design. Owner-confirmed purity is 99.80%.","DDA 25 Gram Scalloped Tree of Life Silver Coin showing a flower-shaped scalloped edge and Tree of Life design","","true","true"
"26","C:\Users\kk\Desktop\Files\IMG_2398.jpeg","c0d477dafdb9c3bdf165b769648760deeac5ec2c5cc4398b4c8902260ea8e14b","public/images/gallery-ingestion/desktop-files-2026-08-22/026-radha-krishna-all-silver-oval-coin-25g.png","DDA-COIN-20260822-026","DDA 25 Gram Radha Krishna Oval Silver Coin","category-coin","","silver","","999","99.80","owner-confirmed-2026-08-22","oval","25","","","","","","","A 25 gram silver piece featuring an all-silver Radha Krishna scene and ornamental reverse. Owner-confirmed purity is 99.80%.","DDA 25 Gram Radha Krishna Oval Silver Coin showing an all-silver Radha Krishna scene and ornamental reverse","","true","true"
"27","C:\Users\kk\Desktop\Files\IMG_2399.jpeg","ae127a8bebfab0c6c0aac6f2cb75d0f92d5f61429dd38472bee4b27365e945d8","public/images/gallery-ingestion/desktop-files-2026-08-22/027-ram-darbar-all-silver-oval-coin-25g.png","DDA-COIN-20260822-027","DDA 25 Gram Ram Darbar Oval Silver Coin","category-coin","","silver","","999","99.80","owner-confirmed-2026-08-22","oval","25","","","","","","","A 25 gram silver piece featuring an all-silver Ram Darbar scene and ornamental reverse. Owner-confirmed purity is 99.80%.","DDA 25 Gram Ram Darbar Oval Silver Coin showing an all-silver Ram Darbar scene and ornamental reverse","","true","true"
"28","C:\Users\kk\Desktop\Files\IMG_2400.jpeg","deaeac8064eb3ad4eab0ad8e0405cab8d624cbf75da026240fe581280bb7b9a2","public/images/gallery-ingestion/desktop-files-2026-08-22/028-tree-of-life-scalloped-silver-coin-50g.png","DDA-COIN-20260822-028","DDA 50 Gram Scalloped Tree of Life Silver Coin","category-coin","","silver","","999","99.80","owner-confirmed-2026-08-22","scalloped","50","","","","","","","A 50 gram silver piece featuring a flower-shaped scalloped edge and Tree of Life design. Owner-confirmed purity is 99.80%.","DDA 50 Gram Scalloped Tree of Life Silver Coin showing a flower-shaped scalloped edge and Tree of Life design","","true","true"
"29","C:\Users\kk\Desktop\Files\IMG_2401.jpeg","a559fbd992568e42715ed219dd6bb6ceb83a949acf0a58c147023dd1cb8123f4","public/images/gallery-ingestion/desktop-files-2026-08-22/029-tree-of-life-round-silver-coin-50g.png","DDA-COIN-20260822-029","DDA 50 Gram Round Tree of Life Silver Coin","category-coin","","silver","","999.9","99.80","owner-confirmed-2026-08-22","round","50","","","","","","","A 50 gram silver piece featuring a round Tree of Life face and branded reverse. Owner-confirmed purity is 99.80%.","DDA 50 Gram Round Tree of Life Silver Coin showing a round Tree of Life face and branded reverse","","true","true"
"30","C:\Users\kk\Desktop\Files\IMG_2402.jpeg","b3dfb910fef7524a60e48a2da006097622c7763e65771151fad03e992a85b3bf","public/images/gallery-ingestion/desktop-files-2026-08-22/030-tree-of-life-round-silver-coin-20g.png","DDA-COIN-20260822-030","DDA 20 Gram Round Tree of Life Silver Coin","category-coin","","silver","","999.9","99.80","owner-confirmed-2026-08-22","round","20","","","","","","","A 20 gram silver piece featuring a round Tree of Life face and branded reverse. Owner-confirmed purity is 99.80%.","DDA 20 Gram Round Tree of Life Silver Coin showing a round Tree of Life face and branded reverse","","true","true"
"31","C:\Users\kk\Desktop\Files\IMG_2403.jpeg","90965f4a33e592e22af6ffc056dac61d841ebeb79bdb614bea578b13f9c91fdc","public/images/gallery-ingestion/desktop-files-2026-08-22/031-radha-krishna-all-silver-oval-coin-20g.png","DDA-COIN-20260822-031","DDA 20 Gram Radha Krishna Oval Silver Coin","category-coin","","silver","","999","99.80","owner-confirmed-2026-08-22","oval","20","","","","","","","A 20 gram silver piece featuring an all-silver Radha Krishna scene and ornamental reverse. Owner-confirmed purity is 99.80%.","DDA 20 Gram Radha Krishna Oval Silver Coin showing an all-silver Radha Krishna scene and ornamental reverse","","true","true"
"32","C:\Users\kk\Desktop\Files\IMG_2404.jpeg","e64e17da187f3c6af96eb92ad7df96c4840fb82627e3c704324bdc1782d7a4fc","public/images/gallery-ingestion/desktop-files-2026-08-22/032-radha-krishna-all-silver-oval-coin-50g.png","DDA-COIN-20260822-032","DDA 50 Gram Radha Krishna Oval Silver Coin","category-coin","","silver","","999","99.80","owner-confirmed-2026-08-22","oval","50","","","","","","","A 50 gram silver piece featuring an all-silver Radha Krishna scene and ornamental reverse. Owner-confirmed purity is 99.80%.","DDA 50 Gram Radha Krishna Oval Silver Coin showing an all-silver Radha Krishna scene and ornamental reverse","","true","true"
"33","C:\Users\kk\Desktop\Files\IMG_2405.jpeg","af13b7552bb6d13b3da4c0a3153b83f8f5482efbeafb8bae08503bd63f490982","public/images/gallery-ingestion/desktop-files-2026-08-22/033-classical-profile-rectangular-silver-bar-100g.png","DDA-COIN-20260822-033","DDA 100 Gram Classical Profile Rectangular Silver Bar","category-coin","","silver","","999.9","99.80","owner-confirmed-2026-08-22","rectangle","100","","","","","","","A 100 gram silver piece featuring a classical-profile portrait and ornate rectangular border. Owner-confirmed purity is 99.80%.","DDA 100 Gram Classical Profile Rectangular Silver Bar showing a classical-profile portrait and ornate rectangular border","","true","true"
"34","C:\Users\kk\Desktop\Files\IMG_2406.jpeg","fdb599a673aed910482739118d330423781993ad608f3eadb76e342590fbaa9e","public/images/gallery-ingestion/desktop-files-2026-08-22/034-classical-profile-rectangular-silver-bar-50g.png","DDA-COIN-20260822-034","DDA 50 Gram Classical Profile Rectangular Silver Bar","category-coin","","silver","","999.9","99.80","owner-confirmed-2026-08-22","rectangle","50","","","","","","","A 50 gram silver piece featuring a classical-profile portrait and ornate rectangular border. Owner-confirmed purity is 99.80%.","DDA 50 Gram Classical Profile Rectangular Silver Bar showing a classical-profile portrait and ornate rectangular border","","true","true"
"35","C:\Users\kk\Desktop\Files\IMG_2407.jpeg","7d0ecd6f3f0dbde9841ed3c2528bb5a53435ed6ea1ba94200e265fc736b6f94b","public/images/gallery-ingestion/desktop-files-2026-08-22/035-classical-profile-rectangular-silver-bar-20g.png","DDA-COIN-20260822-035","DDA 20 Gram Classical Profile Rectangular Silver Bar","category-coin","","silver","","999.9","99.80","owner-confirmed-2026-08-22","rectangle","20","","","","","","","A 20 gram silver piece featuring a classical-profile portrait and ornate rectangular border. Owner-confirmed purity is 99.80%.","DDA 20 Gram Classical Profile Rectangular Silver Bar showing a classical-profile portrait and ornate rectangular border","","true","true"
"36","C:\Users\kk\Desktop\Files\IMG_2408.jpeg","10e53734dd088bf5b05fcd4d1d1c0f75c533182aa73912acb706583e27f53ed2","public/images/gallery-ingestion/desktop-files-2026-08-22/036-classical-profile-rectangular-silver-bar-10g.png","DDA-COIN-20260822-036","DDA 10 Gram Classical Profile Rectangular Silver Bar","category-coin","","silver","","999.9","99.80","owner-confirmed-2026-08-22","rectangle","10","","","","","","","A 10 gram silver piece featuring a classical-profile portrait and ornate rectangular border. Owner-confirmed purity is 99.80%.","DDA 10 Gram Classical Profile Rectangular Silver Bar showing a classical-profile portrait and ornate rectangular border","","true","true"
"37","C:\Users\kk\Desktop\Files\IMG_2409.jpeg","bed4f7fdc4d98d264641efa233e395a47248d467a35bc5f38c0aa36b6054176b","public/images/gallery-ingestion/desktop-files-2026-08-22/037-classical-profile-rectangular-silver-bar-5g.png","DDA-COIN-20260822-037","DDA 5 Gram Classical Profile Rectangular Silver Bar","category-coin","","silver","","999.9","99.80","owner-confirmed-2026-08-22","rectangle","5","","","","","","","A 5 gram silver piece featuring a classical-profile portrait and ornate rectangular border. Owner-confirmed purity is 99.80%.","DDA 5 Gram Classical Profile Rectangular Silver Bar showing a classical-profile portrait and ornate rectangular border","","true","true"
"38","C:\Users\kk\Desktop\Files\IMG_2410.jpeg","a4b638e55cc5b45882395b2b6ae63bc5088169e47298fa60a0a844391d89b3de","public/images/gallery-ingestion/desktop-files-2026-08-22/038-mahavir-navkar-mantra-round-silver-coin.png","DDA-COIN-20260822-038","DDA Mahavir Navkar Mantra Round Silver Coin","category-coin","","silver","","DDA 999","99.80","owner-confirmed-2026-08-22","round","10","","","","","","","A 10 gram silver piece featuring Mahavir imagery encircled by Navkar Mantra lettering. Owner-confirmed purity is 99.80%.","DDA Mahavir Navkar Mantra Round Silver Coin showing Mahavir imagery encircled by Navkar Mantra lettering","","true","true"
"39","C:\Users\kk\Desktop\Files\IMG_2411.jpeg","c7e3ec521799f66896ac759a3bd9ed32c12ecd828547921dbf37ba509c46315b","public/images/gallery-ingestion/desktop-files-2026-08-22/039-ram-darbar-ram-mandir-round-silver-coin-10g.png","DDA-COIN-20260822-039","DDA 10 Gram Ram Darbar Ram Mandir Round Silver Coin","category-coin","","silver","","999","99.80","owner-confirmed-2026-08-22","round","10","","","","","","","A 10 gram silver piece featuring Ram Darbar on one face and the Ayodhya Ram Mandir on the other. Owner-confirmed purity is 99.80%.","DDA 10 Gram Ram Darbar Ram Mandir Round Silver Coin showing Ram Darbar on one face and the Ayodhya Ram Mandir on the other","","true","true"
"40","C:\Users\kk\Desktop\Files\IMG_2412.jpeg","8308dd7d88b6feb11a01afc90f4d6f52d122cf37b04e874b4cad447de1182118","public/images/gallery-ingestion/desktop-files-2026-08-22/040-durga-on-lion-round-silver-coin-10g.png","DDA-COIN-20260822-040","DDA 10 Gram Durga on Lion Round Silver Coin","category-coin","","silver","","999","99.80","owner-confirmed-2026-08-22","round","10","","","","","","","A 10 gram silver piece featuring Durga riding a lion with a decorative reverse. Owner-confirmed purity is 99.80%.","DDA 10 Gram Durga on Lion Round Silver Coin showing Durga riding a lion with a decorative reverse","","true","true"
"41","C:\Users\kk\Desktop\Files\IMG_2413.jpeg","ae6dd02ffa6d7a576d1111494fe6fb7953603e305de9a7a66a5e849080a5887b","public/images/gallery-ingestion/desktop-files-2026-08-22/041-ganesha-under-arch-round-silver-coin-10g.png","DDA-COIN-20260822-041","DDA 10 Gram Ganesha Under Arch Round Silver Coin","category-coin","","silver","","999","99.80","owner-confirmed-2026-08-22","round","10","","","","","","","A 10 gram silver piece featuring Ganesha seated beneath an ornamental arch. Owner-confirmed purity is 99.80%.","DDA 10 Gram Ganesha Under Arch Round Silver Coin showing Ganesha seated beneath an ornamental arch","","true","true"
"42","C:\Users\kk\Desktop\Files\IMG_2414.jpeg","fee596e533843b2a13fecb8b5bb2cf96f7abb354a85667d854dc05145e36086b","public/images/gallery-ingestion/desktop-files-2026-08-22/042-hanuman-carrying-mountain-round-silver-coin-10g.png","DDA-COIN-20260822-042","DDA 10 Gram Hanuman Carrying Mountain Round Silver Coin","category-coin","","silver","","999","99.80","owner-confirmed-2026-08-22","round","10","","","","","","","A 10 gram silver piece featuring Hanuman carrying the mountain in raised relief. Owner-confirmed purity is 99.80%.","DDA 10 Gram Hanuman Carrying Mountain Round Silver Coin showing Hanuman carrying the mountain in raised relief","","true","true"
