"number","sourcePath","imagePath","reference","title","categoryId","utensilType","material","purity","weightGrams","heightInches","widthInches","depthInches","diameterInches","suppliedSizeLabel","singhasanWidthInches","singhasanDepthInches","idolConstruction","deityIds","coinShape","sizeVariants","recordType","parentReference","shortDescription","alt","publishBlockers","readyForSanityAssetUpload","readyForProductPublish"
"11","C:\Users\kk\Desktop\img\WhatsApp Image 2026-08-26 at 12.44.10 PM.jpeg","public/images/gallery-ingestion/img-2026-08-30-approval/images/11-antique-floral-lattice-lidded-silver-jar-5in.png","DDA-GF-IMG-0830-11","Antique Floral-Lattice Lidded Silver Jar","category-gifts",,"silver","92.5","200","5",,,"2.5","Height 5inch; diameter 2.5inch",,,,"",,"",,,"A cylindrical lidded silver jar weighing 200 g, with antique floral lattice, beaded bands and a domed flower finial. Height: 5 in; diameter: 2.5 in.","Cylindrical lidded silver jar with antique floral lattice and domed flower finial","","True","True"
"12","C:\Users\kk\Desktop\img\WhatsApp Image 2026-08-26 at 12.48.12 PM.jpeg","public/images/gallery-ingestion/img-2026-08-30-approval/images/12-open-top-square-floral-relief-silver-jar-4in.png","DDA-GF-IMG-0830-12","Open-Top Floral-Relief Square Silver Jar","category-gifts",,"silver","92.5","230","4",,,"3.5","Height 4inch; diameter 3.5inch",,,,"",,"",,,"An open-top square silver jar weighing 230 g, with raised floral panels, ornate corner feet and a scalloped rim. Height: 4 in; supplied diameter: 3.5 in.","Open-top square silver jar with raised floral panels, ornate feet and scalloped rim","","True","True"
"13","C:\Users\kk\Desktop\img\WhatsApp Image 2026-08-26 at 12.51.01 PM.jpeg","public/images/gallery-ingestion/img-2026-08-30-approval/images/13-red-accent-floral-medallion-square-silver-jar-4in.png","DDA-GF-IMG-0830-13","Red-Accent Floral-Medallion Square Silver Jar","category-gifts",,"silver","92.5","285","4",,,"4","Height 4inch; diameter 4inch",,,,"",,"",,,"A square lidded silver jar weighing 285 g, with red accent stones, floral medallions and engraved side panels. Height: 4 in; supplied diameter: 4 in.","Square lidded silver jar with red accent stones, floral medallions and engraved panels","","True","True"
"14","C:\Users\kk\Desktop\img\WhatsApp Image 2026-08-26 at 12.54.40 PM.jpeg","public/images/gallery-ingestion/img-2026-08-30-approval/images/14-gold-accent-peacock-floral-silver-gift-box-4x3.png","DDA-GF-IMG-0830-14","Gold-Accent Peacock-Floral Silver Gift Box","category-gifts",,"silver","92.5","200",,"4","3",,"4/3inch",,,,"",,"",,,"A compact silver gift box weighing 200 g, with gold-tone peacock and floral accents, pink stones and beaded borders. Supplied size: 4 × 3 in.","Compact silver gift box with gold-tone peacock, floral accents and pink stones","","True","True"
"15","C:\Users\kk\Desktop\img\WhatsApp Image 2026-08-26 at 12.57.18 PM.jpeg","public/images/gallery-ingestion/img-2026-08-30-approval/images/15-faceted-floral-panel-square-silver-jar-4in.png","DDA-GF-IMG-0830-15","Faceted Floral-Panel Square Silver Jar","category-gifts",,"silver","92.5","300","4",,,"3.5","Height 4inch; diameter 3.5inch",,,,"",,"",,,"A faceted square silver jar weighing 300 g, with floral panels, a domed lid and raised flower finial. Height: 4 in; supplied diameter: 3.5 in.","Faceted square silver jar with floral panels, domed lid and raised flower finial","","True","True"
"16","C:\Users\kk\Desktop\img\WhatsApp Image 2026-08-26 at 12.59.52 PM.jpeg","public/images/gallery-ingestion/img-2026-08-30-approval/images/16-double-heart-butterfly-enamel-silver-gift-box-10x9.png","DDA-GF-IMG-0830-16","Double-Heart Butterfly-Enamel Silver Gift Box","category-gifts",,"silver","92.5","1414",,"10","9",,"10/9inch",,,,"",,"",,,"A large silver gift box weighing 1,414 g, with twin heart-shaped frames, a butterfly motif, multicolour enamel flowers and ornate relief. Supplied size: 10 × 9 in.","Large silver gift box with twin heart frames, butterfly motif and multicolour enamel flowers","","True","True"
"17","C:\Users\kk\Desktop\img\WhatsApp Image 2026-08-26 at 1.01.33 PM.jpeg","public/images/gallery-ingestion/img-2026-08-30-approval/images/17-raised-foot-floral-relief-silver-gift-box-5p5x4p5.png","DDA-GF-IMG-0830-17","Raised-Foot Floral-Relief Silver Gift Box","category-gifts",,"silver","92.5","700",,"5.5","4.5",,"5.5/4.5inch",,,,"",,"",,,"A raised-foot silver gift box weighing 700 g, with dense floral relief, a central rosette and scrolling sides. Supplied size: 5.5 × 4.5 in.","Raised-foot silver gift box with dense floral relief, central rosette and scrolling sides","","True","True"
"18","C:\Users\kk\Desktop\img\WhatsApp Image 2026-08-26 at 1.03.35 PM.jpeg","public/images/gallery-ingestion/img-2026-08-30-approval/images/18-blue-enamel-garden-panel-square-silver-gift-box-6x6.png","DDA-GF-IMG-0830-18","Blue-Enamel Garden-Panel Square Silver Gift Box","category-gifts",,"silver","92.5","960",,"6","6",,"6/6inch",,,,"",,"",,,"A square silver gift box weighing 960 g, with blue enamel garden panels, birds, flowers and a beaded frame. Supplied size: 6 × 6 in.","Square silver gift box with blue enamel garden panels, birds, flowers and beaded frame","","True","True"
"19","C:\Users\kk\Desktop\img\WhatsApp Image 2026-08-26 at 1.05.02 PM.jpeg","public/images/gallery-ingestion/img-2026-08-30-approval/images/19-red-enamel-geometric-square-silver-gift-box-6p5x6.png","DDA-GF-IMG-0830-19","Red-Enamel Geometric Square Silver Gift Box","category-gifts",,"silver","92.5","1212",,"6.5","6",,"6.5/6inch",,,,"",,"",,,"A square silver gift box weighing 1,212 g, with red enamel geometric panels, multicolour floral details and a central blue medallion. Supplied size: 6.5 × 6 in.","Square silver gift box with red enamel geometry, floral details and blue centre medallion","","True","True"
"20","C:\Users\kk\Desktop\img\WhatsApp Image 2026-08-26 at 2.30.49 PM.jpeg","public/images/gallery-ingestion/img-2026-08-30-approval/images/20-peacock-red-stone-antique-silver-purse.png","PR-2205","Peacock Red-Stone Antique Silver Purse","category-purse",,"silver","92.5","365",,,,,,,,,"",,"",,,"An antique-finish silver purse weighing 365 g, with a peacock handle, red centre stone, floral relief, beaded borders and a chain tassel.","Antique-finish silver purse with peacock handle, red centre stone and chain tassel","","True","True"
"21","C:\Users\kk\Desktop\img\WhatsApp Image 2026-08-26 at 4.25.29 PM.jpeg","public/images/gallery-ingestion/img-2026-08-30-approval/images/21-embossed-leaf-border-silver-dining-thali-set-9in.png","DDA-UT-PT-2214","Embossed Leaf-Border Silver Dining Thali Set","category-utensils","pooja-thali-set","silver","92.5","1364",,,,"9","Diameter 9inch",,,,"",,"",,,"A silver dining thali set weighing 1,364 g, with an embossed leaf border, matching bowls, tumbler and spoon. Thali diameter: 9 in.","Silver dining thali set with embossed leaf border, matching bowls, tumbler and spoon","","True","True"
"22","C:\Users\kk\Desktop\img\WhatsApp Image 2026-08-26 at 4.49.13 PM.jpeg","public/images/gallery-ingestion/img-2026-08-30-approval/images/22-antique-floral-border-silver-dining-thali-set-12in.png","DDA-UT-PT-2215","Antique Floral-Border Silver Dining Thali Set","category-utensils","pooja-thali-set","silver","92.5","1612",,,,"12","Diameter 12inch",,,,"",,"",,,"An antique-finish silver dining thali set weighing 1,612 g, with a floral border, matching bowls, tumbler and spoon. Thali diameter: 12 in.","Antique-finish silver dining thali set with floral border, bowls, tumbler and spoon","","True","True"
"23","C:\Users\kk\Desktop\img\WhatsApp Image 2026-08-27 at 1.15.36 PM.jpeg","public/images/gallery-ingestion/img-2026-08-30-approval/images/23-peacock-flower-tree-silver-jhula.png","JH-20","Peacock Flower-Tree Silver Jhula","category-jhula",,"silver","92.5","720",,,,,,,,,"",,"",,,"A silver jhula weighing 720 g, with peacock-form uprights, a flowering tree canopy and a suspended swing seat.","Silver jhula with peacock-form uprights, flowering tree canopy and suspended swing seat","","True","True"
"24","C:\Users\kk\Desktop\img\WhatsApp Image 2026-08-29 at 5.35.48 PM.jpeg","public/images/gallery-ingestion/img-2026-08-30-approval/images/24-floral-arch-layered-peacock-silver-jhula-9x7.png","JH-21","Floral-Arch Layered-Peacock Silver Jhula","category-jhula",,"silver","92.5","2454",,,,,"9/7inch","9","7",,"",,"",,,"A silver jhula weighing 2,454 g, with an ornate floral arch, layered peacock motifs, suspended swing seat and engraved base. Singhasan: 9 in left-to-right × 7 in back-to-front.","Silver jhula with ornate floral arch, layered peacock motifs and suspended swing seat","","True","True"
"25","C:\Users\kk\Desktop\img\WhatsApp Image 2026-08-29 at 5.39.22 PM.jpeg","public/images/gallery-ingestion/img-2026-08-30-approval/images/25-elephant-foot-scaled-peacock-silver-jhula-9x7.png","JH-22","Elephant-Foot Scaled-Peacock Silver Jhula","category-jhula",,"silver","92.5","2917",,,,,"9/7inch","9","7",,"",,"",,,"A silver jhula weighing 2,917 g, with elephant feet, scaled peacock uprights, floral canopy and suspended swing seat. Singhasan: 9 in left-to-right × 7 in back-to-front.","Silver jhula with elephant feet, scaled peacock uprights and suspended swing seat","","True","True"
"26","C:\Users\kk\Desktop\img\WhatsApp Image 2026-08-29 at 5.40.56 PM.jpeg","public/images/gallery-ingestion/img-2026-08-30-approval/images/26-floral-arch-peacock-rail-silver-jhula-9x7.png","JH-23","Floral-Arch Peacock-Rail Silver Jhula","category-jhula",,"silver","92.5","2434",,,,,"9/7inch","9","7",,"",,"",,,"A silver jhula weighing 2,434 g, with a floral arch, peacock rail, hanging swing seat and engraved rectangular base. Singhasan: 9 in left-to-right × 7 in back-to-front.","Silver jhula with floral arch, peacock rail, hanging swing and engraved rectangular base","","True","True"
