"number","sourcePath","imagePath","reference","previousReference","title","categoryId","utensilType","purity","weightGrams","heightInches","widthInches","diameterInches","suppliedSizeLabel","suppliedDepthInches","shortDescription","alt","publishBlockers","readyForSanityAssetUpload","readyForProductPublish"
"11","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-12 at 5.05.13 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/jh-15-bal-krishna-lotus-decorated-silver-jhula.png","JH-15","","Bal Krishna Lotus Decorated Silver Jhula","category-jhula","","92.5","135","","","","","","A decorated silver jhula display weighing 135 g, with Bal Krishna artwork, lotus accents, pearl borders, flowers, lights and a peacock feather. Purity: 92.5%.","Decorated silver jhula with Bal Krishna artwork, lotus accents, pearl borders, flowers and peacock feather","Owner must supply the verified singhasan width and depth; they were not visible in the source photograph.","true","false"
"12","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-12 at 5.06.49 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/jh-16-yashoda-bal-krishna-peacock-decorated-silver-jhula.png","JH-16","","Yashoda Bal Krishna Peacock Decorated Silver Jhula","category-jhula","","92.5","300","","","","","","A decorated silver jhula display weighing 300 g, with Yashoda and Bal Krishna artwork, peacock-feather crest, flowers, butterflies and lights. Purity: 92.5%.","Decorated silver jhula with Yashoda and Bal Krishna artwork, peacock feathers, flowers and butterflies","Owner must supply the verified singhasan width and depth; they were not visible in the source photograph.","true","false"
"13","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-12 at 5.08.54 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/jh-17-radha-krishna-lotus-decorated-silver-jhula.png","JH-17","","Radha Krishna Lotus Decorated Silver Jhula","category-jhula","","92.5","215","","","","","","A decorated silver jhula display weighing 215 g, with Radha Krishna artwork, lotus ornaments, pearl strands, flowers, butterfly and peacock crest. Purity: 92.5%.","Decorated silver jhula with Radha Krishna artwork, lotus ornaments, pearl strands and large white flowers","Owner must supply the verified singhasan width and depth; they were not visible in the source photograph.","true","false"
"14","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-13 at 1.00.11 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/97-flared-rim-linear-band-silver-lota-2in.png","DDA-UT-KL-97","","Flared-Rim Linear-Band Silver Lota","category-utensils","kalash","99.80","25","2","","","","","A 99.80% silver lota range with a flared rim, tapered neck, brushed body and fine polished bands, available in seven supplied weight-and-height sizes. Purity: 99.80%.","Compact silver lota with flared rim, tapered neck and fine horizontal bands","Deferred from upload: the current product schema has no weight-and-height variant model for this Kalash range.","true","false"
"15","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-13 at 1.26.46 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/98-bulbous-shoulder-linear-band-silver-lota.png","DDA-UT-KL-98","","Bulbous-Shoulder Linear-Band Silver Lota","category-utensils","kalash","99.80","","","","","","","A 99.80% silver lota range with a broad flared rim, stepped neck, polished bulbous shoulder and brushed lower body, available in twelve supplied sizes. Purity: 99.80%.","Rounded silver lota with broad flared rim, bulbous polished shoulder and brushed linear-band body","Deferred from upload: the current product schema has no weight-and-height variant model for this Kalash range.","true","false"
"16","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-13 at 3.28.06 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/99-ornate-paisley-six-piece-silver-pudding-set.png","DDA-UT-BW-99","","Ornate Paisley Six-Piece Silver Pudding Set","category-utensils","bowl","92.5","550","","","","","","A six-piece silver pudding set weighing 550 g, with one large pedestal bowl and five footed bowls decorated in paisley, floral and crosshatch panels. Purity: 92.5%.","Six-piece silver pudding set with one large pedestal bowl and five ornate paisley footed bowls","Owner must supply the applicable verified physical measurement; none was visible in the source photograph.","true","false"
"17","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-13 at 3.33.59 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/100-scalloped-floral-six-piece-silver-pudding-set.png","DDA-UT-BW-100","","Scalloped Floral Six-Piece Silver Pudding Set","category-utensils","bowl","92.5","650","","","","","","A six-piece silver pudding set weighing 650 g, with one large pedestal bowl and five footed bowls featuring scalloped rims, beaded edges and floral panels. Purity: 92.5%.","Six-piece silver pudding set with scalloped rims, one large pedestal bowl and five smaller footed bowls","Owner must supply the applicable verified physical measurement; none was visible in the source photograph.","true","false"
"18","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-13 at 3.40.40 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/101-leaf-panel-five-piece-silver-pudding-set.png","DDA-UT-BW-101","","Leaf-Panel Five-Piece Silver Pudding Set","category-utensils","bowl","92.5","600","","","","","","A five-piece silver pudding set weighing 600 g, with one large pedestal bowl and four smaller footed bowls decorated with repeated leaf panels. Purity: 92.5%.","Five-piece silver pudding set with one large pedestal bowl and four leaf-panel footed bowls","Owner must supply the applicable verified physical measurement; none was visible in the source photograph.","true","false"
"19","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-13 at 3.49.13 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/sg-01-twin-peacock-om-floral-silver-singhasan-8x6.png","SG-01","","Twin Peacock Om Floral Silver Singhasan","category-gifts","","92.5","500","","8","","8/6","6","An ornate silver singhasan weighing 500 g, with twin peacocks, Om back panel and floral seat. Supplied size: 8 × 6 in. Purity: 92.5%.","Rectangular silver singhasan with twin peacocks, Om back panel, pierced rails and engraved floral seat","Sanity schema mismatch: standalone Singhasan depth has no dedicated field outside category-jhula. The supplied depth is retained as suppliedDepthInches for review and must not be dropped.","true","false"
"20","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-13 at 3.51.01 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/sg-02-twin-peacock-om-round-silver-singhasan-8x6.png","SG-02","","Twin Peacock Om Round Silver Singhasan","category-gifts","","92.5","500","","8","","8/6","6","A round silver singhasan weighing 500 g, with twin peacocks, Om back panel, pierced guard rail and floral seat. Supplied size: 8 × 6 in. Purity: 92.5%.","Round silver singhasan with twin peacocks, Om back panel, pierced circular rail and floral seat","Sanity schema mismatch: standalone Singhasan depth has no dedicated field outside category-jhula. The supplied depth is retained as suppliedDepthInches for review and must not be dropped.","true","false"
"21","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-13 at 3.52.58 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/sg-03-floral-crown-rectangular-silver-singhasan-5x6.png","SG-03","","Floral Crown Rectangular Silver Singhasan","category-gifts","","92.5","350","","5","","5/6 inch","6","A rectangular silver singhasan weighing 350 g, with a layered floral-crown back, pierced rails and engraved seat. Supplied size: 5 × 6 in. Purity: 92.5%.","Rectangular silver singhasan with layered floral crown, pierced rails and densely engraved seat","Sanity schema mismatch: standalone Singhasan depth has no dedicated field outside category-jhula. The supplied depth is retained as suppliedDepthInches for review and must not be dropped.","true","false"
"22","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-13 at 3.55.21 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/sg-04-round-floral-back-silver-singhasan-7x5.png","SG-04","","Round Floral-Back Antique Silver Singhasan","category-gifts","","92.5","300","","7","","7/5 inch","5","A round antique-finish silver singhasan weighing 300 g, with a pointed floral back and raised engraved seat. Supplied size: 7 × 5 in. Purity: 92.5%.","Round antique-finish silver singhasan with pointed floral back, raised engraved seat and leaf border","Sanity schema mismatch: standalone Singhasan depth has no dedicated field outside category-jhula. The supplied depth is retained as suppliedDepthInches for review and must not be dropped.","true","false"
"23","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-13 at 4.00.04 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/sg-05-gold-accent-arched-throne-silver-singhasan-10x8.png","SG-05","","Gold-Accent Arched Throne Silver Singhasan","category-gifts","","92.5","1700","","10","","10/8 inch","8","A silver singhasan weighing 1700 g, with a gold-toned arched back, coloured floral reliefs, canopy and bolsters. Supplied size: 10 × 8 in. Purity: 92.5%.","Gold-accent silver singhasan with coloured arched back, suspended canopy, bolsters and engraved platform","Sanity schema mismatch: standalone Singhasan depth has no dedicated field outside category-jhula. The supplied depth is retained as suppliedDepthInches for review and must not be dropped.","true","false"
"24","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-13 at 4.04.22 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/sg-06-green-blue-peacock-enamel-silver-singhasan-8x5-5.png","SG-06","","Green Blue Peacock Enamel Silver Singhasan","category-gifts","","92.5","800","","8","","8/5.5 inch","5.5","A round silver singhasan weighing 800 g, with green-and-gold fan-tail, blue peacock, cream floral seat and peacock-form legs. Supplied size: 8 × 5.5 in. Purity: 92.5%.","Round silver singhasan with green and blue enamel peacock fan, cream floral seat and peacock-form legs","Sanity schema mismatch: standalone Singhasan depth has no dedicated field outside category-jhula. The supplied depth is retained as suppliedDepthInches for review and must not be dropped.","true","false"
"25","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-13 at 4.12.42 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/sg-07-fan-tail-peacock-silver-singhasan-9x7.png","SG-07","","Fan-Tail Peacock Round Silver Singhasan","category-gifts","","92.5","600","","9","","9/7 inch","7","A round silver singhasan weighing 600 g, with a layered fan-tail peacock back, pierced rail and floral seat. Supplied size: 9 × 7 in. Purity: 92.5%.","Round silver singhasan with layered fan-tail peacock back, pierced guard rail and engraved floral seat","Sanity schema mismatch: standalone Singhasan depth has no dedicated field outside category-jhula. The supplied depth is retained as suppliedDepthInches for review and must not be dropped.","true","false"
"26","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-13 at 4.19.16 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/sg-08-gold-accent-arched-silver-singhasan-7x7.png","SG-08","","Gold-Accent Arched Silver Singhasan","category-gifts","","92.5","650","","7","","7/7 inch","7","A rectangular silver singhasan weighing 650 g, with a gold-accented pointed arch, palm reliefs, bolsters and floral border. Supplied size: 7 × 7 in. Purity: 92.5%.","Rectangular silver singhasan with gold-accented arch, palm reliefs, bolsters and floral front border","Sanity schema mismatch: standalone Singhasan depth has no dedicated field outside category-jhula. The supplied depth is retained as suppliedDepthInches for review and must not be dropped.","true","false"
"27","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-13 at 4.21.24 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/sg-09-canopy-palm-floral-antique-silver-singhasan-10x8.png","SG-09","","Canopy Palm Floral Antique Silver Singhasan","category-gifts","","92.5","1050","","10","","10/8 inch","8","An antique-finish silver singhasan weighing 1050 g, with palm and floral back, suspended canopy, bolsters and engraved platform. Supplied size: 10 × 8 in. Purity: 92.5%.","Antique-finish silver singhasan with palm and floral reliefs, suspended canopy, bolsters and platform","Sanity schema mismatch: standalone Singhasan depth has no dedicated field outside category-jhula. The supplied depth is retained as suppliedDepthInches for review and must not be dropped.","true","false"
"28","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-13 at 4.57.06 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/sg-10-lakshmi-peacock-tiered-silver-singhasan-10x10.png","SG-10","","Lakshmi Peacock Tiered Silver Singhasan","category-gifts","","92.5","1175","","10","","10/10 inch","10","A three-tier silver singhasan weighing 1175 g, with seated Lakshmi relief, paired peacocks, pierced rails and floral scrollwork. Supplied size: 10 × 10 in. Purity: 92.5%.","Three-tier silver singhasan with seated Lakshmi relief, paired peacocks, pierced rails and floral scrollwork","Sanity schema mismatch: standalone Singhasan depth has no dedicated field outside category-jhula. The supplied depth is retained as suppliedDepthInches for review and must not be dropped.","true","false"
"29","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-13 at 5.00.21 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/sg-11-grand-columned-canopy-silver-singhasan-9x7.png","SG-11","","Grand Columned Canopy Silver Singhasan","category-gifts","","92.5","2500","","9","","9/7 inch","7","A grand silver-and-gold singhasan weighing 2500 g, with spiral columns, openwork arch, inner throne and suspended canopy. Supplied size: 9 × 7 in. Purity: 92.5%.","Grand silver-and-gold singhasan with spiral columns, openwork arch, inner throne and hanging canopy","Sanity schema mismatch: standalone Singhasan depth has no dedicated field outside category-jhula. The supplied depth is retained as suppliedDepthInches for review and must not be dropped.","true","false"
